event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,50,50,6085624,6100133,6085623,75,0,1000,0,0,4
2,76,126,3339426,3350463,4560272,35,0,1001,1,0,1
3,78,196,2088727,2089761,4035041,25,0,1001,3,8,0
4,44,240,7235208,7244675,4617326,75,1,1001,0,0,3
5,65,301,3169853,3173659,4407735,35,0,1006,2,4,1
6,46,343,6048069,6051984,5111014,60,13,1011,2,4,1
7,57,388,2042558,2042875,5159258,20,0,1011,4,12,7
8,49,437,1391751,1397881,4268604,15,0,1011,0,0,4
9,60,485,3713568,3713778,4775169,40,8,1011,5,12,8
10,40,513,4987904,4988472,5381799,50,38,1017,4,12,21
11,77,586,340113,341616,4007129,5,5,1019,2,4,3
12,58,640,3050030,3054219,3803229,30,13,1023,2,4,11
13,80,716,1490466,1494080,3216173,15,0,1023,2,4,9
14,63,771,4268267,4270218,3468740,40,2,1023,3,8,3
15,63,834,2098387,2105998,3025487,20,2,1027,0,0,0
16,66,896,718622,719309,2566718,10,0,1026,3,4,2
17,52,940,6993112,6993613,3442628,65,2,1027,3,8,18
18,51,987,6086014,6089908,3742876,60,8,1027,2,4,15
19,55,1038,8264402,8265764,4320867,80,11,1029,2,4,20
20,71,1101,2702547,2703650,4331198,25,46,1025,3,8,11
21,79,1176,1144999,1147463,3908246,15,29,1028,2,4,12
22,50,1226,3628920,3642033,3759836,35,29,1031,0,0,6
23,54,1272,8147970,8148368,4146015,75,0,1030,4,8,9
24,118,1386,2283561,2287127,3890435,25,1,1028,2,4,7
25,104,1482,749290,750839,3640371,10,0,1027,3,8,1
26,100,1578,147473,148843,3144418,5,6,1027,2,4,8
27,53,1623,6185360,6186709,3348344,55,41,1027,3,8,9
28,56,1675,5456507,5461647,3529105,50,1,1029,2,4,1
29,65,1740,1028037,1033180,3089669,10,1,1025,0,0,14
30,59,1783,1313417,1313636,3188614,15,82,1024,5,16,2
31,41,1816,3172948,3174086,3223802,30,50,1031,3,8,2
32,77,1893,1775707,1782946,2978833,20,1,1029,0,0,12
33,79,1956,1032720,1032930,2946925,10,0,1032,5,16,0
34,55,1995,3632253,3632500,3179183,35,10,1032,5,16,0
35,47,2038,3750931,3754860,3183749,35,0,1029,2,4,4
36,48,2086,3848125,3853102,3138714,35,9,1033,1,0,12
37,38,2116,6157584,6158220,3339286,55,13,1031,3,8,10
38,54,2166,3288398,3292600,3352865,30,31,1033,2,4,22
