,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,23,67,345,95,760368,38,2025-05-18T14:49:44.908579Z
1,617,58,218,48,760368,38,2025-05-18T14:49:44.902956Z
2,218,48,755,75,760368,37,2025-05-12T18:18:22.072447Z
3,514,77,247,55,760368,37,2025-05-12T18:18:22.067244Z
4,235,51,248,50,760368,37,2025-05-11T23:59:06.661012Z
5,345,94,17,103,760368,36,2025-05-03T13:58:54.686864Z
6,541,70,58,89,760368,35,2025-04-28T20:38:07.271260Z
7,99,81,402,52,760368,35,2025-04-28T20:38:07.266169Z
8,432,54,54,56,760368,34,2025-04-20T15:39:29.830363Z
9,248,50,47,50,760368,34,2025-04-20T15:39:29.830046Z
10,247,55,585,57,760368,34,2025-04-20T15:39:29.829639Z
11,579,41,18,65,760368,34,2025-04-20T15:39:29.829232Z
12,401,95,207,77,760368,34,2025-04-20T15:39:29.824493Z
13,15,55,358,52,760368,33,2025-04-15T13:46:13.606874Z
14,326,53,211,52,760368,33,2025-04-15T13:46:13.599658Z
15,388,45,36,45,760368,33,2025-04-13T13:11:17.927985Z
16,58,89,401,93,760368,33,2025-04-13T13:11:17.922510Z
17,358,52,443,51,760368,33,2025-04-13T12:58:45.826873Z
18,47,50,413,49,760368,32,2025-04-09T01:14:22.371762Z
19,402,51,12,45,760368,32,2025-04-09T01:14:22.371577Z
20,36,45,326,52,760368,32,2025-04-09T01:14:22.371328Z
21,12,45,402,51,760368,32,2025-04-09T01:10:14.492785Z
22,413,49,325,40,760368,32,2025-04-09T01:10:14.492577Z
23,443,51,15,55,760368,32,2025-04-09T01:10:14.492352Z
24,18,64,6,56,760368,32,2025-04-09T01:10:14.492037Z
25,409,46,395,44,760368,32,2025-04-09T01:10:14.491624Z
26,15,55,47,50,760368,32,2025-04-08T20:56:35.830222Z
27,755,76,58,89,760368,32,2025-04-08T20:56:35.830016Z
28,6,56,18,64,760368,32,2025-04-08T20:55:07.614874Z
29,47,50,15,55,760368,32,2025-04-08T20:55:07.614577Z
30,325,40,185,45,760368,32,2025-04-08T20:55:07.614120Z
31,58,89,755,75,760368,32,2025-04-08T20:55:07.613899Z
32,211,52,210,48,760368,32,2025-04-08T20:55:07.613584Z
33,54,56,633,60,760368,32,2025-04-08T18:10:05.352700Z
34,15,55,91,44,760368,32,2025-04-08T18:10:05.352537Z
35,185,45,521,40,760368,32,2025-04-08T18:10:05.352368Z
36,350,61,517,39,760368,32,2025-04-08T18:10:05.352178Z
37,18,64,580,44,760368,32,2025-04-08T18:10:05.352002Z
38,585,57,432,54,760368,32,2025-04-08T18:10:05.351769Z
39,402,51,71,60,760368,32,2025-04-07T20:58:30.811817Z
40,395,44,88,45,760368,31,2025-04-01T21:43:03.440955Z
41,633,60,74,50,760368,31,2025-04-01T21:40:47.315835Z
42,17,102,99,79,760368,31,2025-04-01T21:40:47.310341Z
43,207,76,447,71,760368,30,2025-04-01T14:28:55.090796Z
44,755,74,351,148,760368,30,2025-04-01T14:27:54.375173Z
45,517,39,311,74,760368,30,2025-03-16T02:18:26.911667Z
46,351,148,541,69,760368,30,2025-03-16T02:18:26.911213Z
47,432,53,182,109,760368,30,2025-03-16T02:18:26.905707Z
48,255,50,495,53,760368,29,2025-03-10T19:42:44.658163Z
49,369,50,593,48,760368,29,2025-03-10T19:42:44.657856Z
50,495,53,422,53,760368,29,2025-03-10T19:21:58.854713Z
51,443,50,383,50,760368,29,2025-03-10T19:21:58.854489Z
52,69,45,27,49,760368,29,2025-03-10T01:25:08.239448Z
53,593,48,594,43,760368,29,2025-03-10T01:25:08.239115Z
54,27,49,500,44,760368,29,2025-03-10T01:23:07.509619Z
55,594,43,593,48,760368,29,2025-03-10T01:23:07.509144Z
56,593,48,495,53,760368,29,2025-03-10T01:21:02.356822Z
57,500,44,566,52,760368,29,2025-03-10T01:21:02.356619Z
58,514,75,136,65,760368,29,2025-03-10T01:21:02.356410Z
59,503,97,71,60,760368,29,2025-03-10T01:21:02.356117Z
60,433,65,432,53,760368,29,2025-03-09T02:06:20.639554Z
61,554,43,91,44,760368,29,2025-03-08T13:50:42.393876Z
62,383,50,521,41,760368,29,2025-03-08T13:50:42.393695Z
63,70,51,580,44,760368,29,2025-03-08T13:50:42.393534Z
64,350,59,88,45,760368,29,2025-03-08T13:50:42.393361Z
65,533,47,311,74,760368,29,2025-03-08T13:50:42.393207Z
66,495,53,326,52,760368,29,2025-03-08T13:50:42.393041Z
67,422,53,210,48,760368,29,2025-03-08T13:50:42.392881Z
68,432,53,74,52,760368,29,2025-03-08T13:50:42.392726Z
69,136,65,182,109,760368,29,2025-03-08T13:50:42.392563Z
70,366,83,328,131,760368,29,2025-03-08T13:50:42.392383Z
71,566,52,401,93,760368,29,2025-03-08T13:50:42.392212Z
72,351,147,541,69,760368,29,2025-03-08T13:50:42.391985Z
73,311,74,282,39,760368,28,2025-02-25T21:19:51.103657Z
74,71,60,54,55,760368,28,2025-02-25T21:19:51.098390Z
75,740,15,739,11,760368,27,2025-02-22T19:14:03.081062Z
76,74,52,78,56,760368,27,2025-02-22T19:14:03.080830Z
77,541,69,58,89,760368,27,2025-02-22T19:14:03.080552Z
78,88,45,573,47,760368,26,2025-02-16T21:41:09.727863Z
79,739,11,744,15,760368,26,2025-02-15T20:35:15.856203Z
80,282,39,399,49,760368,25,2025-02-10T22:06:56.803647Z
81,78,56,327,75,760368,25,2025-02-01T20:14:04.607857Z
82,447,70,129,55,760368,25,2025-02-01T20:14:04.602172Z
83,521,41,201,44,760368,24,2025-01-26T21:19:31.453926Z
84,326,52,255,50,760368,24,2025-01-26T21:19:31.448353Z
85,327,75,199,66,760368,23,2025-01-21T15:59:52.092200Z
86,99,78,345,94,760368,23,2025-01-19T04:07:33.261352Z
87,210,48,162,45,760368,23,2025-01-19T04:07:33.260840Z
88,58,89,252,56,760368,23,2025-01-19T04:07:33.252100Z
89,399,48,120,43,760368,21,2025-01-04T22:26:56.649579Z
90,401,92,180,80,760368,21,2025-01-04T16:45:21.404292Z
91,573,47,322,48,760368,20,2025-01-02T00:39:09.295169Z
92,54,55,494,76,760368,20,2024-12-29T16:55:39.641876Z
93,255,49,3,62,760368,20,2024-12-29T16:48:10.662217Z
94,201,44,521,41,760368,19,2024-12-27T21:27:36.954420Z
95,199,66,317,72,760368,19,2024-12-27T21:27:36.949390Z
96,345,95,17,103,760368,18,2024-12-23T15:16:34.860377Z
97,129,59,148,57,760368,18,2024-12-21T12:43:45.678821Z
98,252,55,541,71,760368,17,2024-12-15T04:51:19.709629Z
99,317,72,54,54,760368,17,2024-12-15T04:51:19.703816Z
100,521,41,325,45,760368,17,2024-12-14T14:49:16.211082Z
101,580,43,291,41,760368,16,2024-12-07T16:58:41.921470Z
102,494,76,99,74,760368,16,2024-12-07T16:58:41.920876Z
103,120,44,594,46,760368,16,2024-12-07T16:58:41.915102Z
104,322,48,255,47,760368,14,2024-12-02T17:21:06.799417Z
105,3,62,326,52,760368,14,2024-12-01T19:06:54.327791Z
106,541,71,401,84,760368,14,2024-12-01T18:10:15.240790Z
107,162,45,228,41,760368,13,2024-11-24T17:25:09.486135Z
108,17,101,348,92,760368,13,2024-11-23T16:20:15.184769Z
109,594,45,495,55,760368,12,2024-11-10T16:38:53.563342Z
110,148,59,252,57,760368,12,2024-11-10T00:21:25.822560Z
111,255,47,461,40,760368,11,2024-11-02T16:34:55.632947Z
112,401,83,306,57,760368,11,2024-11-02T16:33:32.014457Z
113,180,79,351,153,760368,10,2024-10-27T15:11:05.774243Z
114,182,109,309,45,760368,10,2024-10-27T15:11:05.769638Z
115,54,54,327,78,760368,10,2024-10-26T19:44:03.027876Z
116,325,44,445,40,760368,10,2024-10-26T19:44:03.021416Z
117,348,92,503,99,760368,9,2024-10-25T17:09:14.850756Z
118,503,99,17,100,760368,9,2024-10-23T13:33:14.920674Z
119,461,40,36,45,760368,9,2024-10-19T14:14:37.294146Z
120,309,45,233,51,760368,9,2024-10-19T14:14:37.293693Z
121,252,56,473,45,760368,9,2024-10-19T14:14:37.289538Z
122,306,57,148,57,760368,7,2024-10-04T14:50:07.420672Z
123,91,45,201,45,760368,7,2024-09-28T20:29:18.343657Z
124,326,51,311,70,760368,7,2024-09-28T15:11:41.263877Z
125,17,101,199,69,760368,7,2024-09-28T15:11:41.258704Z
126,473,45,110,61,760368,6,2024-09-21T14:30:43.582405Z
127,327,78,317,75,760368,6,2024-09-21T14:30:43.575226Z
128,228,40,340,55,760368,5,2024-09-14T14:18:28.346969Z
129,110,61,648,45,760368,5,2024-09-14T14:18:28.342269Z
130,648,45,609,45,760368,4,2024-09-13T20:52:21.034072Z
131,609,45,446,45,760368,4,2024-09-10T21:36:10.133628Z
132,148,57,129,57,760368,4,2024-09-09T18:49:09.426084Z
133,129,57,148,57,760368,4,2024-09-04T14:17:05.252549Z
134,233,51,54,51,760368,4,2024-09-03T13:53:55.106080Z
135,54,51,233,51,760368,4,2024-09-03T03:10:03.125380Z
