event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,82,82,224907,225087,224907,5,0,1000,0,0,3
2,67,149,5393763,5394035,1116691,60,0,1001,0,0,1
3,74,223,3030368,3030541,1240682,35,5,1004,2,0,1
4,36,259,8875593,8875739,2785573,90,5,1003,0,0,2
5,65,324,3169853,3169969,2479736,35,0,1004,2,0,0
6,44,368,6355234,6355662,3100941,65,0,1007,0,0,4
7,63,431,918938,919122,1882468,10,0,1013,0,0,3
8,33,464,6263601,6264094,2240107,60,0,1015,0,0,7
9,65,529,2194089,2194356,1889920,25,11,1014,2,0,2
10,49,578,2069656,2069832,1584616,20,27,1014,2,0,11
11,51,629,4543149,4543339,1738942,45,27,1018,0,0,1
12,85,714,118173,118211,770583,5,9,1017,2,0,0
13,85,799,863376,863545,506400,10,32,1022,1,0,3
14,68,867,2836267,2836495,475774,30,14,1022,1,0,1
15,50,917,5426017,5426239,558347,50,14,1025,0,0,0
16,69,986,429975,430020,331304,5,14,1025,2,0,9
17,79,1065,2355725,2355873,339502,25,14,1028,0,0,21
18,57,1122,4454478,4454760,408407,45,11,1026,2,0,6
19,79,1201,2530939,2531240,398881,25,22,1029,1,0,27
20,53,1254,7468674,7468871,567737,70,22,1032,0,0,10
21,62,1316,3850484,3850730,650493,35,22,1035,0,0,5
22,38,1354,8576880,8576924,784338,80,2,1036,2,0,2
23,70,1424,1986984,1987303,670218,20,6,1038,1,0,13
24,123,1547,1771227,1771408,625398,20,4,1039,2,0,5
25,94,1641,2039020,2039331,593670,20,1,1038,1,0,2
26,90,1731,658652,658732,483644,10,9,1037,0,0,10
27,66,1797,1379225,1379443,403648,15,15,1036,1,0,8
28,65,1862,2358374,2358566,369250,25,12,1038,1,0,4
29,32,1890,7499256,7499298,567616,70,31,1035,3,4,0
30,44,1934,5945097,5945500,632051,55,23,1027,0,0,7
31,65,1999,165028,165246,437836,5,12,1033,1,0,6
32,86,2085,842660,843090,374144,10,12,1038,0,0,3
33,73,2154,1844166,1844297,374072,20,0,1038,3,4,0
34,85,2239,416146,416991,298071,5,0,1041,0,0,15
35,39,2278,7081104,7081310,338039,65,23,1037,1,0,15
36,54,2332,2175071,2175293,332800,20,32,1039,1,0,25
37,65,2397,369429,369539,271733,5,32,1037,0,0,10
38,60,2457,1920019,1920360,263194,20,22,1038,2,0,6
