,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,514,79,585,55,21505,38,2025-05-24T15:43:56.759111Z
1,617,59,755,73,21505,38,2025-05-24T15:43:56.753622Z
2,110,67,207,76,21505,36,2025-05-08T10:31:19.788104Z
3,99,81,17,104,21505,35,2025-05-01T21:25:27.228594Z
4,392,60,71,60,21505,34,2025-04-26T02:38:39.695769Z
5,311,72,409,46,21505,34,2025-04-26T02:38:39.695531Z
6,248,50,310,55,21505,34,2025-04-26T02:38:39.695289Z
7,182,106,99,80,21505,34,2025-04-26T02:33:58.660130Z
8,402,53,392,60,21505,34,2025-04-26T02:33:58.659851Z
9,71,60,182,106,21505,34,2025-04-25T21:13:08.316977Z
10,310,55,248,50,21505,34,2025-04-25T21:02:44.625222Z
11,163,54,339,66,21505,34,2025-04-25T21:02:44.624874Z
12,392,60,71,60,21505,34,2025-04-25T21:01:59.774123Z
13,339,66,311,72,21505,34,2025-04-25T20:52:33.181319Z
14,409,46,418,56,21505,34,2025-04-25T20:52:33.181097Z
15,182,106,392,60,21505,34,2025-04-25T20:52:33.180847Z
16,71,60,247,55,21505,34,2025-04-25T20:52:33.180594Z
17,248,50,513,42,21505,34,2025-04-25T20:52:33.180296Z
18,418,56,437,44,21505,34,2025-04-25T18:39:59.883015Z
19,247,55,402,51,21505,34,2025-04-25T18:39:59.882690Z
20,311,72,339,66,21505,34,2025-04-25T18:38:33.568846Z
21,339,66,409,45,21505,34,2025-04-25T18:36:47.328124Z
22,152,46,15,55,21505,34,2025-04-25T18:36:47.327823Z
23,579,41,350,61,21505,34,2025-04-25T18:36:47.327537Z
24,255,48,44,44,21505,34,2025-04-25T18:36:47.327249Z
25,533,50,211,52,21505,34,2025-04-25T18:36:47.326971Z
26,327,75,345,93,21505,34,2025-04-25T18:36:47.326808Z
27,99,80,17,104,21505,34,2025-04-25T18:36:47.326646Z
28,392,60,585,57,21505,34,2025-04-25T18:36:47.326472Z
29,566,54,755,75,21505,34,2025-04-25T18:36:47.326199Z
30,541,69,58,89,21505,34,2025-04-25T18:36:47.325793Z
31,401,96,207,76,21505,34,2025-04-25T18:36:47.325414Z
32,58,89,401,94,21505,33,2025-04-17T21:04:24.812751Z
33,44,44,3,61,21505,33,2025-04-17T21:04:24.812277Z
34,345,93,71,59,21505,33,2025-04-17T21:04:24.808332Z
35,17,103,348,92,21505,31,2025-04-04T23:09:13.038359Z
36,437,44,573,49,21505,30,2025-04-01T10:56:52.623495Z
37,573,49,437,44,21505,30,2025-04-01T10:19:44.958621Z
38,585,57,199,67,21505,30,2025-04-01T03:20:26.763178Z
39,437,44,36,45,21505,30,2025-04-01T03:10:03.516887Z
40,36,45,44,44,21505,30,2025-04-01T01:04:59.642407Z
41,44,44,6,56,21505,30,2025-04-01T00:58:15.306477Z
42,6,56,44,44,21505,30,2025-04-01T00:56:41.482845Z
43,348,92,17,102,21505,30,2025-04-01T00:56:41.482618Z
44,402,50,433,65,21505,30,2025-04-01T00:10:54.185956Z
45,199,67,99,79,21505,30,2025-04-01T00:10:54.185639Z
46,17,102,182,108,21505,30,2025-04-01T00:10:54.185397Z
47,44,44,270,39,21505,30,2025-04-01T00:10:54.185183Z
48,401,93,447,72,21505,30,2025-04-01T00:10:54.184928Z
49,207,75,617,56,21505,30,2025-04-01T00:10:54.184692Z
50,755,73,129,56,21505,30,2025-04-01T00:10:54.184399Z
51,350,60,231,43,21505,30,2025-04-01T00:10:54.184144Z
52,409,45,70,51,21505,30,2025-04-01T00:10:54.183883Z
53,211,51,311,71,21505,30,2025-04-01T00:10:54.183531Z
54,513,42,109,39,21505,30,2025-04-01T00:10:54.183268Z
55,15,55,443,50,21505,30,2025-04-01T00:10:54.182993Z
56,433,65,54,53,21505,29,2025-03-13T09:44:13.384081Z
57,617,56,401,92,21505,29,2025-03-13T09:44:13.383546Z
58,70,51,399,46,21505,29,2025-03-13T09:44:13.379917Z
59,447,72,541,69,21505,28,2025-03-07T22:16:38.466696Z
60,541,69,321,75,21505,27,2025-02-24T23:10:33.598515Z
61,737,8,742,5,21505,25,2025-02-13T22:14:41.151877Z
62,71,58,433,64,21505,24,2025-02-01T03:46:23.883962Z
63,99,78,398,75,21505,24,2025-01-30T15:03:59.002481Z
64,321,75,180,79,21505,23,2025-01-24T01:18:48.170780Z
65,433,64,168,50,21505,22,2025-01-18T00:53:03.026230Z
