event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,57,57,4384115,4457680,4384115,55,5,1000,0,0,4
2,73,130,4057480,4086425,3933613,45,0,1000,1,0,2
3,70,200,4013184,4033948,3569606,45,4,1000,1,0,1
4,55,255,4005600,4025773,3198564,40,15,1000,1,0,9
5,61,316,4108673,4144520,3125147,40,15,1001,0,0,4
6,82,394,465770,467002,1251175,5,0,1002,3,4,3
7,63,457,918938,932211,580626,10,0,1006,0,0,8
8,27,484,8435395,8469094,1082947,80,0,1007,0,0,1
9,68,552,1550383,1556129,837736,15,3,1007,3,0,3
10,50,602,1676596,1702298,680331,20,3,1011,0,0,21
11,53,655,3989968,4017944,806222,40,3,1013,0,0,2
12,56,711,3349863,3374033,844141,35,1,1010,0,0,4
13,79,790,1601635,1612673,672200,15,3,1013,1,0,3
14,70,860,2422810,2433204,594068,25,0,1015,2,0,0
15,55,915,3993868,4026232,592135,40,0,1018,0,0,2
16,43,958,6848149,6885552,756157,65,0,1021,0,0,0
17,96,1054,443450,444004,474320,5,1,1020,4,0,14
18,59,1109,3879772,3903849,582723,40,0,1022,2,4,10
19,84,1193,1443873,1464445,495893,15,0,1026,0,0,1
20,79,1272,1056437,1071720,356664,10,0,1028,0,0,0
21,60,1332,4420578,4436766,449990,40,1,1031,1,0,8
22,33,1365,9976397,9977845,631085,90,8,1035,3,0,8
23,71,1436,1737487,1752540,521757,20,14,1040,1,0,2
24,132,1568,1052621,1061827,403558,10,0,1037,1,0,7
25,89,1653,3047494,3062102,470053,30,3,1036,2,4,0
26,71,1724,4280079,4304404,556437,40,11,1034,0,0,10
27,45,1769,9179137,9193255,684966,85,6,1033,1,0,8
28,57,1826,4834803,4879078,731377,45,6,1033,0,0,1
29,39,1865,5524342,5529866,859199,50,5,1031,3,0,0
30,46,1911,5159818,5212806,911292,50,5,1026,0,0,19
31,56,1967,588367,601210,740699,10,5,1030,0,0,4
32,79,2046,1530933,1548193,699245,15,5,1034,0,0,4
33,69,2115,2575790,2586622,681867,25,1,1034,2,0,0
34,66,2181,1905760,1919902,688721,20,1,1037,0,0,6
35,48,2229,3377443,3387761,670036,30,14,1028,2,0,7
36,38,2267,7499444,7508694,778476,70,3,1031,1,0,14
37,42,2309,4754737,4769839,841945,45,6,1025,1,0,16
38,44,2353,6485251,6495682,946836,60,21,1023,1,0,8
