,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,148,55,541,70,2478351,38,2025-05-25T02:07:34.949371Z
1,541,71,755,74,2478351,37,2025-05-16T15:25:47.132640Z
2,361,55,36,44,2478351,36,2025-05-10T04:56:13.988902Z
3,582,45,70,48,2478351,35,2025-05-02T15:55:09.028451Z
4,110,66,207,76,2478351,35,2025-05-02T15:55:09.017067Z
5,275,38,70,48,2478351,34,2025-04-25T23:41:06.320132Z
6,255,48,36,45,2478351,34,2025-04-25T23:41:06.319912Z
7,327,75,345,93,2478351,34,2025-04-25T23:41:06.319677Z
8,136,64,585,57,2478351,34,2025-04-25T23:41:06.319454Z
9,311,72,8,48,2478351,34,2025-04-25T23:41:06.319241Z
10,541,69,755,75,2478351,34,2025-04-25T23:41:06.319013Z
11,447,70,207,77,2478351,34,2025-04-25T23:41:06.318714Z
12,8,48,3,62,2478351,33,2025-04-18T23:59:32.243140Z
13,345,93,514,75,2478351,33,2025-04-18T23:59:32.237649Z
14,513,42,445,39,2478351,30,2025-04-01T15:00:20.234917Z
15,36,45,369,50,2478351,30,2025-04-01T15:00:20.234636Z
16,402,50,99,80,2478351,30,2025-04-01T15:00:20.234341Z
17,207,76,129,55,2478351,30,2025-04-01T15:00:20.234035Z
18,585,57,78,57,2478351,30,2025-04-01T15:00:20.233717Z
19,409,45,461,40,2478351,30,2025-04-01T15:00:20.233407Z
20,573,49,399,47,2478351,30,2025-04-01T15:00:20.233075Z
21,755,74,447,70,2478351,30,2025-04-01T15:00:20.232680Z
22,369,50,326,52,2478351,29,2025-03-14T23:44:52.257616Z
23,514,75,54,53,2478351,29,2025-03-14T23:44:52.257242Z
24,129,55,321,74,2478351,29,2025-03-14T23:44:52.251525Z
25,99,80,398,75,2478351,27,2025-02-25T00:14:55.867462Z
26,737,8,742,5,2478351,25,2025-02-14T03:09:10.147194Z
27,78,57,571,63,2478351,25,2025-02-14T03:09:10.146864Z
28,326,52,437,43,2478351,24,2025-01-28T21:35:30.736161Z
29,321,74,180,80,2478351,23,2025-01-21T01:21:14.371166Z
30,571,65,366,84,2478351,22,2025-01-17T23:00:33.614053Z
31,447,69,252,56,2478351,22,2025-01-17T23:00:33.609583Z
32,437,43,594,44,2478351,22,2025-01-17T14:43:51.007539Z
33,398,75,494,76,2478351,21,2025-01-13T00:18:02.364978Z
34,366,84,17,103,2478351,18,2024-12-25T00:04:24.226182Z
35,401,90,541,70,2478351,18,2024-12-25T00:04:24.222616Z
36,252,55,148,58,2478351,17,2024-12-20T17:16:15.068147Z
37,494,76,13,83,2478351,17,2024-12-20T17:16:15.067271Z
38,3,62,533,48,2478351,17,2024-12-20T17:16:15.066429Z
39,399,46,326,51,2478351,17,2024-12-20T17:16:15.059294Z
40,13,83,99,77,2478351,14,2024-12-03T17:24:55.400371Z
41,180,81,401,84,2478351,14,2024-12-02T17:20:53.871538Z
42,541,69,316,71,2478351,13,2024-11-24T15:30:10.127850Z
43,70,44,120,44,2478351,12,2024-11-23T04:14:19.867412Z
44,326,54,6,55,2478351,12,2024-11-23T03:05:52.279286Z
45,6,55,436,45,2478351,12,2024-11-23T02:57:41.175927Z
46,316,71,447,66,2478351,12,2024-11-23T02:48:10.853604Z
47,17,101,19,56,2478351,12,2024-11-23T02:48:10.853254Z
48,120,44,70,44,2478351,12,2024-11-23T02:48:10.852904Z
49,533,48,350,62,2478351,12,2024-11-23T02:48:10.852547Z
50,443,47,235,49,2478351,12,2024-11-11T16:16:59.007059Z
51,148,59,306,57,2478351,12,2024-11-11T14:05:00.241597Z
52,328,129,503,99,2478351,12,2024-11-11T14:05:00.241316Z
53,401,84,82,76,2478351,12,2024-11-11T14:05:00.241082Z
54,447,66,351,151,2478351,12,2024-11-11T14:05:00.240849Z
55,70,44,291,41,2478351,12,2024-11-11T14:05:00.240592Z
56,436,45,395,44,2478351,12,2024-11-11T14:05:00.240218Z
57,99,76,327,79,2478351,9,2024-10-22T03:12:22.801940Z
58,350,61,18,60,2478351,9,2024-10-22T03:12:22.801475Z
59,503,99,17,100,2478351,9,2024-10-22T03:12:22.795513Z
60,182,106,199,69,2478351,6,2024-09-25T00:43:27.965294Z
61,306,57,401,83,2478351,6,2024-09-25T00:43:27.961755Z
62,327,79,317,75,2478351,6,2024-09-24T13:55:12.977103Z
63,54,51,181,62,2478351,4,2024-09-03T01:38:55.034561Z
64,291,40,333,44,2478351,3,2024-08-25T23:16:30.774809Z
65,594,45,116,40,2478351,2,2024-08-23T17:26:51.447752Z
