event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,59,59,3866409,3870786,3866410,45,0,1000,0,0,3
2,85,144,1531489,1532782,1764443,20,15,1001,1,0,5
3,86,226,661391,661881,1041908,10,17,1002,2,4,2
4,45,271,6968056,6969931,1704583,70,17,1002,0,0,4
5,73,340,1382716,1382817,1322572,15,5,1002,3,4,4
6,50,390,4911016,4912083,1492147,50,0,1006,0,0,2
7,52,442,3065389,3067448,1232206,30,0,1013,0,0,0
8,34,476,6185395,6186313,1523877,60,1,1013,2,0,0
9,56,528,4991914,4992930,1983502,50,5,1016,2,4,4
10,56,580,831369,831909,1515960,10,0,1013,2,4,4
11,55,635,3612474,3613387,1512281,35,23,1013,1,0,1
12,63,698,1988109,1988800,1249488,20,14,1010,1,0,1
13,47,745,8176401,8176908,2016216,80,14,1009,0,0,0
14,92,837,160952,160990,1123380,5,9,1008,1,0,0
15,29,866,10297668,10297730,1857001,95,1,1009,2,0,0
16,69,931,429975,430236,1422961,5,11,1007,2,4,1
17,95,1022,492722,493200,1044023,5,12,1007,2,4,2
18,68,1090,1445342,1446540,909830,15,11,1012,1,0,7
19,62,1152,6763242,6763960,1204975,65,23,1016,1,0,9
20,53,1197,7729111,7729217,1694228,70,12,1017,3,8,4
21,70,1267,2303666,2304987,1575579,25,12,1019,0,0,3
22,61,1328,1070930,1071776,1254367,10,12,1020,0,0,-1
23,64,1392,3983594,3984441,1212329,40,11,1021,2,0,8
24,117,1509,2327677,2328074,1206108,25,11,1022,0,0,4
25,77,1586,5551409,5552032,1430940,50,11,1020,0,0,2
26,78,1664,2613003,2613836,1404731,25,11,1018,0,0,0
27,35,1699,10845058,10845283,1782803,100,11,1018,0,0,1
28,56,1755,5181285,5183886,1882420,50,11,1017,0,0,0
29,53,1808,2509645,2510468,1759461,25,11,1013,0,0,1
30,32,1840,9686255,9686673,2075110,90,11,1010,0,0,0
31,14,1854,11214746,11214851,2497482,100,11,1009,0,0,0
32,50,1904,6649112,6649916,2773371,60,11,1008,0,0,0
33,41,1945,9237460,9238020,3121184,85,11,1004,0,0,0
34,42,1987,6381858,6382721,3295272,60,11,1004,0,0,-3
35,37,2024,7571372,7573081,3392608,70,11,1004,0,0,1
36,39,2063,6833577,6834827,3481061,60,11,1004,0,0,1
37,23,2086,10338513,10338980,3771197,95,11,1002,0,0,0
38,42,2128,6896570,6897750,3888617,65,11,1001,0,0,0
