,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,348,92,182,109,119377,29,2025-03-15T13:26:13.338658Z
1,503,97,328,132,119377,29,2025-03-15T13:26:13.338508Z
2,617,57,401,90,119377,29,2025-03-15T13:26:13.338348Z
3,351,147,321,74,119377,29,2025-03-15T13:26:13.338174Z
4,71,62,492,62,119377,29,2025-03-15T13:26:13.338003Z
5,366,85,398,74,119377,29,2025-03-15T13:26:13.337807Z
6,70,52,573,48,119377,29,2025-03-15T13:26:13.337650Z
7,533,48,255,48,119377,29,2025-03-15T13:26:13.337488Z
8,422,54,311,73,119377,29,2025-03-15T13:26:13.337313Z
9,383,50,201,45,119377,29,2025-03-15T13:26:13.337058Z
10,398,77,317,72,119377,23,2025-01-25T11:43:05.921464Z
11,321,75,180,79,119377,23,2025-01-25T11:43:05.917609Z
12,573,47,6,56,119377,20,2025-01-03T16:55:54.661529Z
13,447,67,541,70,119377,20,2025-01-03T16:55:54.661147Z
14,311,72,322,49,119377,20,2025-01-03T16:55:54.655354Z
15,317,72,366,84,119377,19,2024-12-29T01:54:44.296089Z
16,322,49,236,48,119377,18,2024-12-26T02:19:16.124428Z
17,182,112,54,51,119377,17,2024-12-20T23:01:43.812431Z
18,401,87,351,149,119377,17,2024-12-20T23:01:43.808032Z
19,492,63,83,55,119377,16,2024-12-13T22:37:49.108055Z
20,541,71,58,89,119377,16,2024-12-13T22:37:49.103403Z
21,83,55,230,55,119377,15,2024-12-07T01:05:11.821165Z
22,6,56,533,48,119377,15,2024-12-07T01:05:11.816335Z
23,180,81,82,76,119377,14,2024-12-03T16:34:00.125031Z
24,366,84,99,75,119377,12,2024-11-23T01:48:52.775440Z
25,533,47,311,70,119377,11,2024-11-09T13:22:03.509379Z
26,328,127,182,109,119377,10,2024-11-01T23:05:29.898339Z
27,236,48,3,61,119377,10,2024-11-01T23:05:29.894711Z
28,255,47,18,60,119377,9,2024-10-25T16:14:09.751482Z
29,182,109,17,100,119377,9,2024-10-25T16:14:09.747739Z
30,230,57,78,56,119377,8,2024-10-18T22:11:29.573653Z
31,82,76,180,78,119377,8,2024-10-18T22:11:29.569167Z
32,18,60,44,45,119377,6,2024-09-27T19:05:14.133054Z
33,270,40,399,44,119377,6,2024-09-27T19:05:14.132720Z
34,201,45,15,56,119377,6,2024-09-27T19:05:14.132398Z
35,44,45,255,46,119377,6,2024-09-24T18:02:53.377474Z
36,78,56,135,55,119377,6,2024-09-24T18:02:53.377238Z
37,180,77,251,60,119377,6,2024-09-24T18:01:09.028403Z
38,99,72,199,69,119377,6,2024-09-24T18:00:26.795923Z
39,17,100,328,127,119377,6,2024-09-24T17:59:36.409495Z
40,15,56,201,45,119377,6,2024-09-24T17:59:36.409032Z
41,3,61,335,60,119377,6,2024-09-24T17:59:36.405647Z
42,135,55,317,75,119377,5,2024-09-20T21:20:35.194214Z
43,328,127,17,100,119377,5,2024-09-20T21:20:35.193833Z
44,58,89,401,84,119377,5,2024-09-20T21:20:35.188712Z
45,309,45,181,64,119377,3,2024-08-30T21:40:08.991168Z
46,335,60,333,43,119377,3,2024-08-30T21:40:08.985287Z
47,251,60,82,75,119377,2,2024-08-23T17:38:31.348960Z
