event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,76,76,608263,615066,608263,10,0,1000,0,0,4
2,68,144,5274812,5280211,1764443,60,0,1002,1,0,3
3,86,230,586190,588808,732226,10,0,1002,0,0,1
4,46,276,6829073,6833043,1286979,70,6,1002,1,0,4
5,71,347,1580927,1586277,878666,20,6,1003,0,0,2
6,42,389,6842860,6847970,1510895,70,3,1012,0,0,2
7,55,444,2472418,2474518,1106797,25,0,1017,2,0,14
8,34,478,6111259,6116224,1379073,60,5,1021,1,0,0
9,66,544,1902416,1906412,1131818,20,6,1024,1,0,1
10,36,580,6392359,6396555,1484597,65,6,1026,1,0,12
11,61,641,2256325,2258796,1258829,25,29,1027,2,0,2
12,67,708,1286880,1289112,925208,15,29,1027,0,0,1
13,102,810,49954,50179,344408,1,21,1029,2,0,2
14,63,873,4176641,4181202,387939,40,24,1033,1,0,0
15,55,928,4163594,4167518,396790,40,25,1031,1,0,0
16,42,970,7411371,7414894,546350,70,6,1033,1,0,10
17,70,1040,4001243,4003938,684126,40,5,1033,1,0,2
18,53,1093,5395454,5398423,840822,50,5,1032,0,0,4
19,73,1162,4089764,4090358,992995,40,17,1031,3,4,14
20,70,1232,2835649,2839251,923788,30,17,1032,1,0,10
21,74,1306,1678126,1682077,803985,20,17,1033,0,0,9
22,37,1343,8905060,8906375,968374,80,2,1037,2,0,8
23,71,1414,1737487,1740979,820274,20,6,1040,1,0,6
24,141,1555,452929,453666,531933,5,1,1041,0,0,16
25,86,1641,3711182,3713862,595082,35,5,1040,2,0,0
26,102,1739,102498,103364,415190,1,27,1037,2,4,3
27,54,1793,5322078,5329906,439578,50,27,1038,0,0,9
28,61,1854,3453125,3460352,436354,35,27,1040,0,0,13
29,31,1885,7783162,7783904,620994,70,40,1040,3,0,0
30,53,1938,2808045,2811736,592264,25,38,1042,1,0,11
31,38,1976,3823477,3829353,645838,35,9,1031,0,0,17
32,83,2059,1121793,1125344,577164,10,9,1037,0,0,11
33,60,2119,4724847,4726744,644857,45,7,1041,2,0,0
34,73,2192,1238365,1242139,599013,15,7,1044,0,0,3
35,46,2238,3791345,3799467,597187,35,7,1041,0,0,8
36,40,2278,6458704,6465086,684106,60,7,1040,0,0,18
37,36,2314,6845851,6846105,797759,60,1,1034,3,0,8
38,43,2357,6838889,6841104,909968,60,3,1037,1,0,7
