,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,106,53,585,55,431416,38,2025-05-25T02:08:26.821343Z
1,776,45,566,52,431416,37,2025-05-16T12:27:50.661124Z
2,326,53,6,56,431416,37,2025-05-16T12:27:50.660690Z
3,58,90,755,74,431416,37,2025-05-16T12:27:50.654481Z
4,443,51,201,46,431416,34,2025-04-25T12:22:23.892686Z
5,617,58,566,53,431416,34,2025-04-25T12:22:23.892488Z
6,247,55,54,56,431416,34,2025-04-25T12:22:23.892281Z
7,366,85,585,57,431416,34,2025-04-25T12:22:23.892065Z
8,248,50,15,55,431416,34,2025-04-25T12:22:23.891865Z
9,255,48,350,62,431416,34,2025-04-25T12:22:23.891665Z
10,311,72,6,56,431416,34,2025-04-25T12:22:23.891458Z
11,533,50,395,44,431416,34,2025-04-25T12:22:23.891210Z
12,392,60,17,104,431416,34,2025-04-25T12:22:23.890974Z
13,99,80,345,93,431416,34,2025-04-25T12:22:23.890760Z
14,541,69,755,75,431416,34,2025-04-25T12:22:23.890497Z
15,350,62,436,47,431416,33,2025-04-18T21:59:57.118173Z
16,345,93,182,106,431416,33,2025-04-18T21:59:57.113698Z
17,15,55,443,49,431416,31,2025-04-04T21:53:34.104261Z
18,436,47,70,51,431416,31,2025-04-04T21:53:34.103922Z
19,566,53,129,55,431416,31,2025-04-04T21:47:59.049301Z
20,395,44,650,45,431416,31,2025-04-04T21:41:37.021072Z
21,201,46,227,39,431416,31,2025-04-04T21:41:37.020807Z
22,650,45,211,49,431416,31,2025-04-04T21:39:48.953246Z
23,409,45,594,43,431416,31,2025-04-04T21:38:28.710687Z
24,54,55,12,46,431416,31,2025-04-04T21:36:07.705264Z
25,585,57,99,76,431416,31,2025-04-04T21:36:07.705047Z
26,17,103,71,62,431416,31,2025-04-04T21:36:07.704866Z
27,6,56,3,62,431416,31,2025-04-04T21:36:07.704635Z
28,755,73,447,71,431416,30,2025-04-01T01:16:01.962699Z
29,594,43,44,44,431416,29,2025-03-14T20:22:19.949059Z
30,129,55,321,74,431416,29,2025-03-14T20:18:08.639702Z
31,71,62,54,55,431416,29,2025-03-14T20:18:08.634506Z
32,741,8,744,15,431416,26,2025-02-21T17:10:56.622818Z
33,12,46,364,53,431416,26,2025-02-21T12:49:25.428545Z
34,744,15,742,5,431416,25,2025-02-14T02:45:17.750347Z
35,70,50,339,64,431416,25,2025-02-14T02:45:17.750127Z
36,321,74,180,78,431416,23,2025-01-21T01:21:27.515711Z
37,437,43,270,39,431416,22,2025-01-16T22:01:05.472423Z
38,447,69,617,58,431416,22,2025-01-16T22:01:05.457040Z
39,443,48,185,48,431416,20,2025-01-01T19:14:25.410293Z
40,54,55,17,102,431416,19,2024-12-29T03:33:58.828420Z
41,401,91,566,56,431416,19,2024-12-29T03:33:58.822520Z
42,211,47,533,47,431416,19,2024-12-29T03:33:58.822098Z
43,364,52,54,51,431416,17,2024-12-20T00:59:09.996593Z
44,339,64,145,45,431416,16,2024-12-13T01:32:22.321576Z
45,617,61,447,62,431416,15,2024-12-06T18:54:47.490093Z
46,185,48,383,51,431416,14,2024-12-03T01:34:34.905370Z
47,145,46,291,41,431416,13,2024-11-29T14:43:36.722509Z
48,17,102,503,99,431416,13,2024-11-29T13:56:35.003211Z
49,328,128,78,56,431416,11,2024-11-06T02:22:42.157602Z
50,566,56,351,151,431416,11,2024-11-06T02:22:42.150430Z
51,533,46,506,46,431416,10,2024-11-01T14:07:15.379148Z
52,503,99,17,100,431416,9,2024-10-24T23:49:26.377712Z
53,383,50,310,55,431416,8,2024-10-18T23:49:39.505856Z
54,182,107,327,79,431416,7,2024-09-30T17:30:20.781165Z
55,506,45,311,70,431416,7,2024-09-30T17:30:20.775207Z
56,310,55,15,55,431416,6,2024-09-27T22:47:52.963593Z
57,270,40,116,40,431416,6,2024-09-21T23:42:51.773022Z
58,291,41,270,40,431416,6,2024-09-21T23:39:17.331241Z
59,99,71,199,69,431416,6,2024-09-21T23:38:23.615434Z
60,270,40,395,45,431416,6,2024-09-21T23:38:23.615133Z
61,180,76,401,84,431416,6,2024-09-21T23:33:40.960414Z
62,15,55,413,50,431416,6,2024-09-21T23:33:40.960004Z
63,3,60,495,55,431416,6,2024-09-21T23:33:40.959543Z
64,327,78,317,75,431416,6,2024-09-21T23:33:40.958905Z
65,78,56,181,62,431416,4,2024-09-03T01:35:47.400893Z
66,395,45,333,45,431416,2,2024-08-20T20:17:12.895361Z
