event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,58,58,4124179,4158739,4124179,50,5,1000,0,0,4
2,68,126,5274812,5288150,4560272,60,0,1000,1,0,0
3,82,208,1107888,1116820,2686773,15,2,1004,0,0,3
4,78,286,172151,173355,665331,5,2,1006,0,0,3
5,76,362,817031,825769,326194,10,2,1011,0,0,9
6,76,438,783176,786948,62756,10,2,1017,0,0,2
7,48,486,4288428,4303585,75439,45,2,1021,0,0,2
8,32,518,6953120,6959660,155879,70,0,1021,2,0,0
9,71,589,1022133,1024493,106235,10,1,1024,3,0,12
10,38,627,5384259,5400582,197996,55,1,1031,0,0,9
11,62,689,2055856,2061641,189924,20,39,1031,2,0,2
12,57,746,3243019,3250113,221622,35,18,1029,1,0,2
13,83,829,1108341,1113185,159098,15,1,1028,2,0,2
14,63,892,4176641,4187083,186095,40,5,1031,1,0,1
15,62,954,2301931,2313920,148610,25,5,1033,0,0,1
16,55,1009,2838411,2849276,139237,30,5,1034,1,0,10
17,92,1101,731231,734669,91547,10,0,1037,2,0,16
18,66,1167,1793618,1801052,87139,20,0,1041,0,0,2
19,93,1260,464710,466230,50254,5,1,1042,2,0,11
20,80,1340,918882,924957,28812,10,1,1048,0,0,12
21,59,1399,4516242,4527628,50881,45,1,1053,0,0,7
22,48,1447,4591189,4602798,55049,45,13,1057,1,0,9
23,61,1508,4852623,4873449,60588,45,13,1060,0,0,7
24,140,1648,562044,563572,35453,10,2,1061,3,0,5
25,95,1743,1913248,1920677,35082,20,4,1057,2,0,4
26,72,1815,4168850,4178529,54854,40,6,1054,1,0,2
27,60,1875,2875256,2893718,51721,30,6,1055,0,0,6
28,64,1939,2496581,2512029,45392,25,6,1056,0,0,4
29,55,1990,2349897,2351042,47086,25,3,1048,4,4,7
30,60,2050,962069,973086,34699,10,19,1034,0,0,8
31,54,2104,746093,753530,31080,10,4,1041,0,0,5
32,104,2208,82981,83870,14359,1,28,1046,1,0,5
33,69,2277,2575790,2581537,16860,25,37,1049,2,0,13
34,84,2361,474221,487615,15207,5,37,1050,0,0,13
35,49,2406,3026143,3031071,17859,30,22,1045,2,4,13
36,53,2459,2411540,2418804,20775,25,2,1045,1,0,10
37,52,2511,2010185,2019491,23710,20,10,1045,1,0,2
38,74,2581,338126,340414,17822,5,18,1042,2,4,0
