,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,514,79,345,94,1119377,38,2025-05-25T13:28:01.721721Z
1,24,62,6,55,1119377,38,2025-05-25T01:39:17.553801Z
2,110,68,207,76,1119377,37,2025-05-16T03:59:00.025574Z
3,350,64,36,44,1119377,36,2025-05-10T05:09:25.081587Z
4,345,94,585,57,1119377,35,2025-05-02T13:17:07.349870Z
5,99,81,17,103,1119377,35,2025-05-02T03:05:12.943766Z
6,327,76,99,80,1119377,34,2025-04-26T03:52:52.104426Z
7,71,60,327,75,1119377,34,2025-04-26T03:16:46.749648Z
8,392,60,402,53,1119377,34,2025-04-26T03:16:46.749150Z
9,447,70,617,58,1119377,34,2025-04-26T02:50:34.380041Z
10,402,53,392,60,1119377,34,2025-04-26T02:50:34.379820Z
11,275,38,191,42,1119377,34,2025-04-26T02:50:34.379506Z
12,191,42,255,48,1119377,34,2025-04-26T02:03:31.274400Z
13,99,80,71,60,1119377,34,2025-04-26T02:03:31.274174Z
14,617,58,447,70,1119377,34,2025-04-26T02:03:31.273891Z
15,255,48,580,45,1119377,34,2025-04-25T18:41:49.035736Z
16,513,42,383,49,1119377,34,2025-04-25T18:41:49.035275Z
17,71,60,99,80,1119377,34,2025-04-25T18:32:17.841758Z
18,311,72,191,42,1119377,34,2025-04-25T18:32:17.841255Z
19,447,70,148,55,1119377,34,2025-04-25T13:28:20.804579Z
20,418,56,311,72,1119377,34,2025-04-25T13:25:20.788643Z
21,383,49,413,49,1119377,34,2025-04-25T13:25:20.788169Z
22,413,49,248,50,1119377,34,2025-04-25T02:41:48.289280Z
23,148,55,110,65,1119377,34,2025-04-25T02:41:09.820305Z
24,99,80,402,52,1119377,34,2025-04-25T02:41:09.819883Z
25,110,65,617,58,1119377,34,2025-04-24T13:24:42.282614Z
26,248,50,413,49,1119377,34,2025-04-24T13:24:42.282056Z
27,402,52,99,80,1119377,34,2025-04-24T13:24:42.281616Z
28,580,45,163,54,1119377,34,2025-04-24T13:17:01.925586Z
29,99,80,71,60,1119377,34,2025-04-24T13:17:01.925319Z
30,617,58,252,53,1119377,34,2025-04-24T13:17:01.925007Z
31,163,54,418,56,1119377,34,2025-04-24T12:56:37.911615Z
32,413,49,248,50,1119377,34,2025-04-24T12:56:37.911171Z
33,252,53,447,69,1119377,34,2025-04-24T12:56:37.910616Z
34,311,72,339,66,1119377,34,2025-04-24T12:54:09.118650Z
35,327,75,99,79,1119377,34,2025-04-24T12:54:09.118404Z
36,339,66,255,48,1119377,34,2025-04-23T02:46:06.256845Z
37,191,42,70,49,1119377,34,2025-04-23T02:46:06.256568Z
38,392,60,402,52,1119377,34,2025-04-23T02:35:37.241699Z
39,255,48,339,66,1119377,34,2025-04-23T02:35:37.241366Z
40,339,66,437,44,1119377,34,2025-04-22T13:43:45.971293Z
41,402,52,392,60,1119377,34,2025-04-22T13:43:45.971004Z
42,248,50,513,42,1119377,34,2025-04-22T13:39:24.854529Z
43,533,49,36,45,1119377,34,2025-04-22T13:39:24.854330Z
44,418,56,6,56,1119377,34,2025-04-22T13:39:24.854072Z
45,579,41,191,42,1119377,34,2025-04-22T13:39:24.853794Z
46,447,69,755,75,1119377,34,2025-04-22T13:39:24.853558Z
47,541,69,207,77,1119377,34,2025-04-22T13:39:24.853348Z
48,71,60,585,57,1119377,34,2025-04-22T13:39:24.853067Z
49,392,60,199,68,1119377,34,2025-04-22T13:39:24.852799Z
50,99,79,17,103,1119377,34,2025-04-22T13:39:24.852581Z
51,182,106,54,57,1119377,34,2025-04-22T13:39:24.852308Z
52,54,57,402,51,1119377,33,2025-04-18T19:29:09.123322Z
53,735,15,746,15,1119377,33,2025-04-18T19:29:09.123098Z
54,199,68,348,92,1119377,32,2025-04-12T04:57:35.568485Z
55,6,56,409,45,1119377,30,2025-04-01T14:43:41.809290Z
56,402,50,199,67,1119377,30,2025-04-01T14:43:41.808997Z
57,191,42,3,63,1119377,30,2025-04-01T14:40:08.419375Z
58,409,45,350,60,1119377,30,2025-04-01T14:40:08.419214Z
59,199,67,402,50,1119377,30,2025-04-01T14:40:08.419029Z
