event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,73,73,941733,1036685,941734,15,0,1000,0,0,3
2,83,156,1777337,1822926,541912,20,0,1000,0,0,2
3,85,241,779880,796530,278510,10,0,1002,2,0,1
4,31,272,9603585,9618436,1621121,95,34,1003,1,0,0
5,39,311,9721641,9728634,3563908,95,39,1003,1,0,1
6,83,394,398502,406098,1235604,5,28,999,1,0,0
7,50,444,3818841,3866460,1126953,40,29,998,1,0,0
8,63,507,151361,156304,331943,5,8,1001,1,0,3
9,74,581,586254,603989,182638,10,27,1001,1,0,6
10,70,651,65010,67309,45185,1,37,1006,1,0,0
11,58,709,2871593,2903035,63741,30,24,1009,1,0,2
12,69,778,1040371,1070789,40496,10,0,1005,0,0,7
13,67,845,3676716,3738211,73688,35,0,1007,0,0,1
14,64,909,3944632,3972224,85219,40,3,1010,2,0,3
15,37,946,9089660,9109119,207133,85,6,1012,1,0,2
16,45,991,6137704,6244621,277599,60,6,1016,0,0,8
17,74,1065,3209176,3254183,338857,30,6,1014,0,0,3
18,55,1120,5029602,5068854,430894,50,8,1012,2,0,12
19,109,1229,13500,14504,167639,1,8,1016,0,0,3
20,50,1279,8498575,8512900,290595,80,0,1019,2,0,1
21,62,1341,4022511,4040822,357254,40,1,1016,2,0,10
22,65,1406,633806,661855,223110,10,1,1020,0,0,3
23,64,1470,3983594,4015343,216605,40,19,1022,2,0,9
24,130,1600,1177980,1187294,176842,15,19,1020,0,0,10
25,96,1696,1749096,1776652,163978,20,0,1019,2,0,8
26,77,1773,2833244,2893649,188020,30,0,1018,0,0,18
27,48,1821,7891970,8017127,237457,70,0,1018,0,0,7
28,61,1882,3453125,3556463,234285,35,0,1017,0,0,2
29,29,1911,8077766,8168000,377725,75,0,1015,0,0,0
30,62,1973,684732,720718,295640,10,0,1013,0,0,6
31,39,2012,3500452,3607917,340765,35,0,1014,0,0,1
32,81,2093,1383988,1400232,322489,15,1,1010,2,0,7
33,81,2174,819148,827239,258494,10,20,1013,3,0,0
34,39,2213,7165479,7264014,446133,65,20,1014,0,0,0
35,28,2241,10366634,10368416,573134,95,16,1014,2,0,11
36,54,2295,2034847,2107298,554477,20,16,1012,0,0,4
37,48,2343,2780528,2874980,570839,25,1,1009,0,0,9
38,60,2403,1883361,1912501,549232,20,0,1011,1,0,1
