,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,350,65,18,64,5993873,38,2025-05-25T03:54:01.403385Z
1,402,53,633,61,5993873,35,2025-05-02T05:11:41.926657Z
2,99,81,199,69,5993873,35,2025-05-02T05:06:13.224658Z
3,755,77,401,95,5993873,33,2025-04-19T08:03:27.116962Z
4,633,61,364,53,5993873,33,2025-04-19T08:03:27.116632Z
5,199,69,99,78,5993873,33,2025-04-19T08:03:27.111870Z
6,18,65,399,46,5993873,32,2025-04-12T06:07:42.015506Z
7,27,49,447,69,5993873,32,2025-04-12T06:07:42.010734Z
8,47,50,521,40,5993873,25,2025-02-14T15:05:16.201252Z
9,327,75,9,66,5993873,25,2025-02-14T15:05:16.195545Z
10,99,78,137,44,5993873,23,2025-01-25T05:52:57.761600Z
11,401,95,351,147,5993873,23,2025-01-25T05:52:57.754366Z
12,364,54,182,112,5993873,21,2025-01-14T03:45:43.842594Z
13,351,148,401,91,5993873,21,2025-01-14T03:45:43.838895Z
14,255,50,350,60,5993873,20,2025-01-04T06:34:41.267880Z
15,447,68,27,50,5993873,20,2025-01-04T06:34:41.262928Z
16,401,90,148,56,5993873,18,2024-12-25T23:33:05.635499Z
17,9,67,17,103,5993873,18,2024-12-25T23:33:05.627879Z
18,54,53,618,56,5993873,15,2024-12-07T03:37:55.069731Z
19,27,50,401,85,5993873,14,2024-12-03T05:41:58.509138Z
20,182,110,99,78,5993873,14,2024-12-03T05:41:58.504852Z
21,399,44,116,40,5993873,12,2024-11-23T03:50:12.316243Z
22,15,55,536,40,5993873,12,2024-11-23T03:50:12.316012Z
23,618,56,182,107,5993873,12,2024-11-23T03:50:12.315784Z
24,148,60,447,64,5993873,12,2024-11-23T03:50:12.315501Z
25,401,85,82,76,5993873,12,2024-11-23T03:50:12.315231Z
26,17,101,309,45,5993873,12,2024-11-23T03:50:12.314996Z
27,137,44,342,64,5993873,12,2024-11-23T03:50:12.314761Z
28,533,48,475,39,5993873,12,2024-11-23T03:50:12.314495Z
29,594,46,461,40,5993873,12,2024-11-23T03:50:12.314159Z
30,99,79,199,66,5993873,11,2024-11-09T04:42:53.318436Z
31,521,40,47,50,5993873,10,2024-11-02T05:54:55.358693Z
32,447,63,4,82,5993873,9,2024-10-25T04:09:07.570221Z
33,82,76,129,55,5993873,8,2024-10-19T01:24:05.239711Z
34,4,82,401,83,5993873,7,2024-10-05T01:13:57.889241Z
35,182,106,345,95,5993873,6,2024-09-28T08:09:05.252709Z
36,47,50,310,55,5993873,5,2024-09-21T04:40:49.634330Z
37,342,66,503,100,5993873,4,2024-09-14T02:19:48.995106Z
38,475,40,495,55,5993873,3,2024-08-31T05:23:33.801764Z
39,58,90,82,75,5993873,3,2024-08-31T05:23:33.796795Z
