event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,80,80,321537,348236,321537,5,0,1000,0,0,2
2,64,144,6047358,6078539,1705154,65,0,1002,0,0,2
3,88,232,463638,470924,635899,5,2,1002,2,0,1
4,40,272,8252747,8271128,1621121,85,6,1003,1,0,10
5,61,333,4108673,4160848,1758073,40,6,1006,0,0,9
6,46,379,5876907,5911908,2216922,60,6,1006,0,0,10
7,59,438,1631646,1635487,1460242,20,5,1007,3,0,1
8,46,484,1996513,2037504,1082947,20,5,1007,0,0,5
9,55,539,5343315,5364379,1378470,55,4,1009,2,0,5
10,52,591,1298833,1330082,1032236,15,4,1009,0,0,4
11,59,650,2526729,2559365,949923,25,4,1010,0,0,9
12,43,693,6854519,6898088,1396520,65,4,1011,0,0,1
13,44,737,8933273,8937155,2306516,85,0,1009,2,0,0
14,70,807,2258889,2294150,2049439,25,0,1004,0,0,0
15,52,859,4837331,4887097,2072606,45,0,1001,0,0,0
16,51,910,3959333,4014639,2050597,40,0,999,0,0,0
17,74,984,3209176,3234541,2012251,30,0,996,0,0,0
18,48,1032,6826273,6827032,2344318,65,16,996,5,0,3
19,84,1116,1443873,1473893,2071644,15,16,999,0,0,14
20,72,1188,2299553,2331545,1902882,25,16,1005,0,0,3
21,45,1233,7867340,7871702,2388341,75,2,1007,2,0,9
22,46,1279,5101490,5175673,2362632,50,2,1010,0,0,7
23,67,1346,2672314,2723373,2221455,25,2,1012,0,0,3
24,108,1454,3641700,3666904,2320979,35,2,1011,0,0,2
25,88,1542,3115129,3144654,2309677,30,2,1011,0,0,6
26,82,1624,1777610,1805309,2158709,20,2,1011,0,0,1
27,69,1693,875464,882886,1888568,10,0,1011,2,0,3
28,59,1752,4146130,4209085,1932597,40,0,1012,0,0,9
29,23,1775,9581156,9621681,2379087,85,0,1013,0,0,0
30,59,1834,1133100,1166556,2182832,10,0,1014,0,0,0
31,48,1882,1461064,1490751,1984601,15,0,1015,0,0,0
32,85,1967,1008608,1012585,1715416,10,2,1015,3,0,10
33,65,2032,3284020,3327702,1699632,30,2,1016,0,0,27
34,42,2074,6381858,6434837,1939040,60,2,1021,0,0,0
35,63,2137,294259,306240,1677633,5,2,1023,0,0,9
36,66,2203,462442,472425,1447641,5,2,1025,0,0,9
37,54,2257,1524963,1560639,1368002,15,2,1027,0,0,0
38,57,2314,2372087,2411625,1340932,25,2,1029,0,0,15
