,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,199,68,71,61,3593801,32,2025-04-05T20:58:52.317124Z
1,70,53,422,52,3593801,32,2025-04-05T20:58:52.316707Z
2,163,53,3,63,3593801,32,2025-04-05T20:58:52.311098Z
3,71,60,327,74,3593801,27,2025-02-24T19:37:22.099876Z
4,58,89,82,73,3593801,27,2025-02-24T19:37:22.095185Z
5,402,51,309,45,3593801,21,2025-01-04T19:18:41.255296Z
6,422,52,380,44,3593801,21,2025-01-04T19:18:41.248960Z
7,3,63,495,55,3593801,18,2024-12-24T17:33:23.995817Z
8,327,74,342,63,3593801,18,2024-12-24T17:33:23.995502Z
9,401,90,351,148,3593801,18,2024-12-24T17:33:23.995169Z
10,339,65,326,51,3593801,18,2024-12-24T17:33:23.994840Z
11,447,66,148,57,3593801,18,2024-12-24T17:33:23.990854Z
12,495,55,311,69,3593801,13,2024-11-25T17:59:49.994699Z
13,350,63,506,45,3593801,13,2024-11-25T17:59:49.989976Z
14,82,77,4,81,3593801,9,2024-10-24T19:41:46.293779Z
15,326,53,45,48,3593801,9,2024-10-24T19:41:46.290011Z
16,45,48,350,59,3593801,7,2024-10-01T15:46:50.293311Z
17,99,74,525,63,3593801,7,2024-10-01T15:46:50.292437Z
18,506,45,395,44,3593801,7,2024-10-01T15:46:50.286487Z
19,148,57,110,61,3593801,4,2024-09-05T19:04:07.560578Z
20,54,51,199,69,3593801,3,2024-08-31T06:41:02.449723Z
21,110,61,546,45,3593801,3,2024-08-31T06:41:02.443877Z
