event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,51,51,5857248,5866430,5857247,70,10,1000,0,0,5
2,67,118,5393763,5398653,5615517,60,10,1001,0,0,10
3,68,186,4538868,4542977,4934117,50,15,1002,1,0,1
4,60,246,2422166,2427360,4025399,25,15,1002,0,0,1
5,80,326,477832,479763,2287079,5,27,1003,1,0,3
6,51,377,4841480,4844122,2379618,50,0,1005,2,0,4
7,92,469,6551,6574,268394,1,0,1009,0,0,2
8,33,502,6263601,6271900,432665,60,0,1010,0,0,1
9,61,563,3319704,3324219,489655,35,7,1012,2,0,11
10,45,608,3178752,3181551,519667,30,18,1013,2,0,4
11,67,675,1135536,1138138,366680,15,18,1017,0,0,2
12,44,719,6798896,6801046,653139,65,15,1015,2,0,2
13,53,772,6848335,6851786,1107543,65,15,1018,0,0,4
14,48,820,8201102,8204298,1608842,80,15,1017,0,0,2
15,61,881,2720324,2721031,1380222,30,24,1011,3,0,0
16,49,930,4949724,4953319,1441259,50,0,1013,2,0,7
17,109,1039,36372,36511,701180,1,0,1015,0,0,0
18,78,1117,215661,216241,467790,5,4,1019,0,0,14
19,87,1204,993501,997059,365321,10,4,1026,0,0,14
20,79,1283,1117070,1119929,257361,15,16,1029,1,0,8
21,77,1360,1289696,1293444,205525,15,16,1036,0,0,13
22,49,1409,3973766,3982611,203176,40,16,1042,0,0,6
23,60,1469,5609472,5612936,221304,55,0,1045,2,0,9
24,123,1592,1721492,1722727,219872,20,0,1046,0,0,7
25,107,1699,470483,472254,149742,5,8,1041,1,0,3
26,67,1766,5406001,5407819,223726,50,5,1039,2,0,1
27,58,1824,3622005,3630086,220566,35,20,1040,0,0,1
28,50,1874,7106946,7108490,283028,65,16,1040,2,0,4
29,34,1908,6871590,6873774,401888,65,6,1034,1,0,0
30,39,1947,8056340,8057636,500645,75,2,1030,2,0,0
31,33,1980,5693182,5700323,602686,55,2,1029,0,0,0
32,80,2060,1422826,1426873,566215,15,2,1015,0,0,5
33,68,2128,2629718,2634291,563205,25,2,1021,0,0,0
34,67,2195,1897464,1897666,574970,20,24,1019,5,0,0
35,54,2249,1547957,1552541,516113,15,24,1020,1,0,7
36,57,2306,1462872,1466343,480590,15,24,1025,0,0,10
37,60,2366,744099,746857,425696,10,24,1022,0,0,8
38,67,2433,796016,797766,372525,10,24,1024,0,0,6
