,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,36,44,573,51,480554,38,2025-05-25T13:26:19.235332Z
1,350,65,361,54,480554,38,2025-05-25T13:26:19.235021Z
2,13,82,402,52,480554,38,2025-05-25T10:24:09.092789Z
3,85,44,70,53,480554,38,2025-05-25T10:24:09.092520Z
4,148,55,110,67,480554,38,2025-05-25T09:51:49.725165Z
5,228,38,533,50,480554,38,2025-05-25T09:45:20.172952Z
6,58,92,755,74,480554,38,2025-05-25T09:45:20.172759Z
7,415,55,409,46,480554,38,2025-05-25T09:45:20.172572Z
8,227,38,513,42,480554,38,2025-05-25T09:45:20.172302Z
9,514,76,327,76,480554,35,2025-05-02T16:14:08.362555Z
10,110,66,207,77,480554,34,2025-04-26T06:58:22.183428Z
11,99,80,585,58,480554,34,2025-04-26T06:58:22.183073Z
12,327,76,17,104,480554,34,2025-04-26T06:58:22.182697Z
13,70,53,211,52,480554,34,2025-04-26T06:58:22.182298Z
14,533,50,6,56,480554,34,2025-04-26T06:58:22.178587Z
15,361,54,270,39,480554,32,2025-04-12T07:56:44.405105Z
16,409,46,255,47,480554,32,2025-04-12T07:56:44.404903Z
17,585,58,71,61,480554,32,2025-04-12T07:56:44.404699Z
18,15,55,235,50,480554,32,2025-04-12T07:56:44.404495Z
19,755,76,447,66,480554,32,2025-04-12T07:56:44.404259Z
20,54,56,182,107,480554,32,2025-04-12T07:56:44.404057Z
21,17,104,74,48,480554,32,2025-04-12T07:56:44.403850Z
22,402,52,99,80,480554,32,2025-04-12T07:56:44.403641Z
23,6,56,70,51,480554,32,2025-04-12T07:56:44.403410Z
24,573,51,3,61,480554,32,2025-04-12T07:56:44.403174Z
25,513,42,521,40,480554,32,2025-04-12T07:56:44.402910Z
26,211,51,311,72,480554,30,2025-04-01T12:48:37.976398Z
27,207,76,218,51,480554,30,2025-04-01T12:48:37.971405Z
28,71,62,54,52,480554,29,2025-03-15T06:19:20.205433Z
29,99,81,364,54,480554,28,2025-03-08T07:54:53.038586Z
30,218,51,207,74,480554,28,2025-03-08T07:54:53.034022Z
31,735,15,744,15,480554,26,2025-02-21T17:10:07.575387Z
32,70,50,573,47,480554,26,2025-02-21T17:10:07.575115Z
33,74,51,398,74,480554,25,2025-02-14T18:00:28.558100Z
34,270,39,461,41,480554,23,2025-01-25T06:46:45.411494Z
35,207,74,252,56,480554,23,2025-01-25T06:46:45.406251Z
36,252,56,541,68,480554,20,2025-01-04T10:27:40.445766Z
37,461,41,580,43,480554,18,2024-12-26T09:26:29.840216Z
38,235,49,227,39,480554,18,2024-12-26T09:26:29.839996Z
39,398,72,13,83,480554,18,2024-12-26T09:26:29.839776Z
40,311,71,415,54,480554,18,2024-12-26T09:26:29.839481Z
41,580,43,116,40,480554,18,2024-12-26T01:19:30.155856Z
42,573,46,533,47,480554,18,2024-12-26T01:19:30.155459Z
43,364,54,19,54,480554,18,2024-12-26T01:19:30.155035Z
44,13,83,17,105,480554,18,2024-12-26T01:19:30.154637Z
45,415,54,144,45,480554,18,2024-12-26T01:19:30.154207Z
46,521,41,185,48,480554,18,2024-12-26T01:19:30.153782Z
47,185,48,325,46,480554,16,2024-12-14T13:29:22.132567Z
48,17,106,366,84,480554,16,2024-12-14T13:15:32.337989Z
49,401,85,351,150,480554,15,2024-12-07T04:06:12.306100Z
50,328,133,99,74,480554,15,2024-12-07T04:06:12.305744Z
51,325,46,235,49,480554,15,2024-12-07T04:06:12.301259Z
52,144,45,311,69,480554,12,2024-11-23T09:01:11.008794Z
53,366,84,230,57,480554,12,2024-11-23T09:01:11.003793Z
54,533,46,211,48,480554,10,2024-11-02T07:57:42.884878Z
55,541,66,82,75,480554,10,2024-11-02T07:57:42.879104Z
56,230,58,317,74,480554,9,2024-10-25T15:59:11.860527Z
57,182,109,17,100,480554,9,2024-10-25T15:59:11.855512Z
58,17,101,205,53,480554,6,2024-09-28T05:44:06.388017Z
59,447,62,401,83,480554,6,2024-09-28T05:44:06.382371Z
60,99,71,13,83,480554,5,2024-09-21T06:25:43.099882Z
61,54,50,402,55,480554,3,2024-08-26T00:09:26.888747Z
