event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,70,70,1372029,1547695,1372029,20,0,1000,0,0,0
2,74,144,3705152,3798396,1705154,40,0,1001,0,0,0
3,80,224,1613417,1649986,1160585,20,7,1001,2,0,0
4,54,278,4323689,4388592,1162084,45,5,1001,1,0,2
5,69,347,2092293,2149166,899318,25,32,1003,1,0,0
6,39,386,7541973,7643794,1721350,75,32,1004,0,0,7
7,51,437,3576776,3612478,1520458,35,30,1004,2,0,2
8,32,469,6649141,6824375,1923623,65,30,1004,0,0,0
9,70,535,1180068,1191973,1590767,15,9,1004,3,4,4
10,58,593,549372,589515,967369,10,9,1008,0,0,6
11,66,659,1269637,1325387,699194,15,9,1009,0,0,0
12,38,697,8146546,8259717,1261277,80,9,1010,0,0,0
13,59,756,5458393,5572185,1601596,55,9,1010,0,0,0
14,67,823,2940517,3048949,1512914,30,1,1002,0,0,0
15,60,883,2885221,2923561,1317917,30,7,1004,1,0,0
16,44,927,6778893,6812671,1518473,65,5,1009,2,0,8
17,87,1014,1193793,1234904,1209301,15,5,1012,0,0,8
18,56,1070,4552949,4654882,1322383,45,5,1014,0,0,0
19,83,1153,1616597,1694722,1167664,15,5,1016,0,0,0
20,72,1225,2486434,2498290,1051007,25,28,1017,3,0,5
21,61,1286,4067983,4168022,1157732,40,28,1021,0,0,9
22,54,1340,2648855,2671813,1015149,25,3,1025,2,0,4
23,56,1396,6979022,7171656,1122271,65,3,1028,0,0,2
24,145,1541,280224,292431,698845,5,2,1030,2,0,4
25,81,1622,4852986,4879843,832935,45,0,1028,2,0,1
26,80,1702,2279095,2333220,810907,25,7,1026,1,0,2
27,47,1749,8269865,8452841,937618,75,7,1029,0,0,2
28,60,1809,3994672,4065497,952965,40,11,1029,1,0,2
29,36,1845,6321447,6344720,1135067,60,2,1029,2,0,0
30,56,1901,1759832,1877330,1043458,20,2,1028,0,0,8
31,27,1928,8161835,8374875,1237136,75,2,1027,0,0,0
32,48,1976,7151977,7300784,1578730,65,2,1022,0,0,11
33,75,2051,1407452,1461949,1426725,15,2,1019,0,0,2
34,41,2092,6643064,6797661,1685988,60,2,1022,0,0,14
35,52,2144,1860784,2002632,1584376,20,2,1021,0,0,11
36,40,2184,6816602,6824769,1690111,60,3,1021,3,0,19
37,37,2221,6167173,6376282,1814064,55,3,1022,0,0,8
38,79,2300,143687,148100,1501249,5,11,1023,0,0,9
