,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,533,51,255,47,8566107,36,2025-05-10T05:26:43.522641Z
1,350,64,311,71,8566107,36,2025-05-10T05:26:43.522418Z
2,32,44,422,50,8566107,36,2025-05-10T05:26:43.522081Z
3,388,45,305,39,8566107,29,2025-03-12T03:49:02.827680Z
4,168,47,111,44,8566107,29,2025-03-12T03:49:02.822536Z
5,110,65,541,69,8566107,28,2025-03-08T01:44:44.510462Z
6,541,68,321,75,8566107,26,2025-02-21T04:15:04.444422Z
7,70,50,399,49,8566107,25,2025-02-14T05:44:09.154362Z
8,78,57,364,56,8566107,25,2025-02-14T05:44:09.150517Z
9,364,56,398,77,8566107,24,2025-01-25T16:34:50.416712Z
10,321,75,566,53,8566107,24,2025-01-25T16:34:50.409799Z
11,398,77,71,55,8566107,22,2025-01-18T04:32:51.514523Z
12,443,50,185,47,8566107,22,2025-01-18T04:32:51.508299Z
13,99,77,17,103,8566107,20,2025-01-03T02:06:32.847510Z
14,399,48,6,56,8566107,20,2025-01-03T02:06:32.847081Z
15,401,92,180,81,8566107,20,2025-01-03T02:06:32.843195Z
16,71,55,19,55,8566107,16,2024-12-11T18:42:42.749879Z
17,422,49,355,47,8566107,16,2024-12-11T18:31:13.918246Z
18,6,56,3,62,8566107,15,2024-12-06T05:44:01.533422Z
19,566,56,546,45,8566107,14,2024-12-02T16:40:51.131278Z
20,447,66,351,150,8566107,14,2024-12-02T16:40:51.131053Z
21,180,81,306,55,8566107,14,2024-12-02T16:40:51.130805Z
22,111,44,199,66,8566107,14,2024-12-02T16:40:51.130568Z
23,17,103,99,77,8566107,14,2024-12-02T16:40:51.130336Z
24,182,110,54,52,8566107,14,2024-12-02T16:40:51.130093Z
25,305,39,461,40,8566107,14,2024-12-02T16:40:51.129800Z
26,355,47,350,61,8566107,14,2024-12-02T16:40:51.129549Z
27,3,62,326,53,8566107,14,2024-12-02T16:40:51.129292Z
28,668,39,445,40,8566107,14,2024-12-02T16:40:51.128952Z
29,99,76,317,74,8566107,9,2024-10-24T19:40:30.068990Z
30,328,126,17,100,8566107,9,2024-10-24T19:40:30.068039Z
31,326,53,18,60,8566107,9,2024-10-24T19:40:30.060981Z
32,461,40,116,40,8566107,7,2024-10-04T21:26:45.511094Z
33,185,47,201,45,8566107,7,2024-10-04T21:26:45.505334Z
34,306,57,401,84,8566107,5,2024-09-20T18:31:29.934529Z
35,255,46,191,44,8566107,4,2024-09-13T00:33:39.936415Z
36,54,51,530,50,8566107,3,2024-08-30T14:20:39.343188Z
37,19,56,181,64,8566107,3,2024-08-30T14:20:39.337783Z
