event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,2621727,2633122,2621727,35,0,1000,0,0,4
2,79,143,2661161,2664457,1901525,30,20,1001,1,0,3
3,76,219,2352233,2355468,1565612,25,20,1003,0,0,9
4,45,264,7165478,7167397,2331643,75,2,1005,2,0,2
5,53,317,6623842,6626830,3041148,65,2,1007,0,0,1
6,45,362,6116029,6118867,3582189,60,7,1013,0,0,1
7,56,418,2054485,2058981,2826748,20,7,1019,0,0,3
8,31,449,7027089,7031924,3321178,70,7,1020,0,0,2
9,48,497,7681257,7682463,3944906,75,9,1018,2,0,3
10,53,550,1138121,1140960,3125454,15,9,1018,0,0,12
11,44,594,6760969,6762926,3518322,65,5,1015,1,0,4
12,35,629,8973654,8974386,4322629,85,13,1014,2,0,1
13,66,695,4013144,4015467,4119095,40,14,1016,1,0,2
14,58,753,5763061,5763908,4187353,55,2,1012,3,0,12
15,66,819,1546332,1549172,3598035,15,2,1015,0,0,0
16,66,885,679100,680291,2945320,10,2,1018,1,0,4
17,91,976,761091,762243,2254776,10,2,1022,0,0,6
18,55,1031,5082704,5083705,2376264,50,9,1026,3,0,13
19,75,1106,3352189,3355435,2347389,35,9,1030,0,0,12
20,67,1173,3429420,3432480,2301766,35,9,1033,0,0,9
21,74,1247,1788379,1789627,2035365,20,8,1036,2,0,3
22,46,1293,5101490,5107467,2016222,50,8,1040,0,0,9
23,56,1349,6979022,6984369,2148470,65,8,1044,0,0,7
24,125,1474,1598125,1599833,1882349,15,11,1044,2,0,3
25,93,1567,2148368,2150128,1786401,20,11,1042,0,0,2
26,90,1657,746084,746388,1521670,10,6,1036,3,0,9
27,52,1709,6210898,6216090,1589347,55,6,1038,0,0,1
28,58,1767,4764990,4767069,1649927,45,6,1036,2,0,6
29,25,1792,9338137,9338660,2055416,85,10,1035,2,0,0
30,45,1837,5555363,5561155,2130139,50,10,1035,0,0,0
31,71,1908,41348,41716,1546084,1,7,1034,0,0,6
32,69,1977,2853713,2855974,1564440,30,7,1039,0,0,14
33,72,2049,2020593,2021585,1457160,20,5,1035,3,0,4
34,67,2116,1799233,1801098,1372544,20,5,1036,0,0,6
35,44,2160,4604725,4610878,1380894,45,5,1033,0,0,6
36,56,2216,1638444,1640871,1293675,15,5,1031,0,0,17
37,47,2263,3267152,3268758,1300942,30,20,1029,2,0,0
38,62,2325,1551968,1554006,1222599,15,0,1030,2,0,2
