,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,617,58,218,48,303450,38,2025-05-23T15:48:48.842294Z
1,514,79,199,69,303450,38,2025-05-23T15:48:48.836956Z
2,268,56,473,44,303450,37,2025-05-16T16:04:52.321149Z
3,218,48,755,75,303450,37,2025-05-16T16:04:52.316687Z
4,328,138,182,106,303450,34,2025-04-24T22:45:00.007368Z
5,163,54,211,52,303450,34,2025-04-20T18:59:17.022313Z
6,447,69,473,44,303450,34,2025-04-20T18:59:17.022037Z
7,136,64,54,56,303450,34,2025-04-20T18:59:17.021785Z
8,99,79,345,93,303450,34,2025-04-20T18:59:17.021521Z
9,443,51,15,55,303450,34,2025-04-20T18:59:17.021273Z
10,255,48,361,54,303450,34,2025-04-20T18:59:17.021015Z
11,533,49,18,64,303450,34,2025-04-20T18:59:17.020798Z
12,541,68,755,76,303450,34,2025-04-20T18:59:17.020584Z
13,401,95,207,77,303450,34,2025-04-20T18:59:17.020357Z
14,398,74,17,104,303450,34,2025-04-20T18:59:17.020033Z
15,366,85,199,68,303450,34,2025-04-20T18:59:17.019670Z
16,182,106,328,135,303450,34,2025-04-20T18:59:17.019385Z
17,473,44,401,89,303450,33,2025-04-19T00:04:47.316616Z
18,345,93,402,51,303450,33,2025-04-19T00:04:47.316306Z
19,361,54,70,49,303450,33,2025-04-19T00:04:47.311644Z
20,402,50,12,46,303450,31,2025-04-05T01:11:39.092190Z
21,513,42,109,39,303450,31,2025-04-05T01:11:39.092037Z
22,755,75,473,44,303450,31,2025-04-05T01:11:39.091886Z
23,54,55,182,107,303450,31,2025-04-05T01:11:39.091730Z
24,15,55,347,53,303450,31,2025-04-05T01:11:39.091547Z
25,409,45,231,44,303450,31,2025-04-05T01:11:39.091383Z
26,207,76,447,71,303450,31,2025-04-05T01:11:39.091190Z
27,17,103,99,80,303450,31,2025-04-05T01:11:39.091016Z
28,211,51,311,72,303450,31,2025-04-05T01:11:39.090842Z
29,199,68,71,62,303450,31,2025-04-05T01:11:39.090604Z
30,18,63,3,62,303450,31,2025-04-05T01:04:07.169188Z
31,347,53,201,45,303450,29,2025-03-14T15:57:40.997800Z
32,71,62,398,74,303450,29,2025-03-14T15:57:40.992649Z
33,447,72,541,69,303450,28,2025-03-08T03:49:27.539322Z
34,231,44,399,47,303450,28,2025-03-06T03:17:11.536860Z
35,99,79,327,75,303450,26,2025-02-21T15:35:01.925621Z
36,541,68,232,55,303450,26,2025-02-21T15:33:40.379528Z
37,12,46,54,53,303450,26,2025-02-21T15:32:38.272096Z
38,327,75,366,83,303450,24,2025-02-01T03:48:52.679575Z
39,232,55,129,55,303450,24,2025-02-01T03:42:49.697140Z
40,398,76,494,76,303450,21,2025-01-14T01:47:44.189542Z
41,201,45,91,44,303450,21,2025-01-14T01:47:27.497393Z
42,473,44,268,56,303450,18,2024-12-26T00:28:59.765819Z
43,311,71,270,39,303450,18,2024-12-26T00:28:59.764928Z
44,494,77,17,104,303450,18,2024-12-26T00:28:59.760096Z
45,70,46,594,46,303450,16,2024-12-14T00:55:37.124341Z
46,268,56,351,150,303450,14,2024-12-03T02:48:57.735108Z
47,17,104,78,56,303450,14,2024-12-03T02:48:57.734811Z
48,328,132,99,74,303450,14,2024-12-03T02:48:57.730135Z
49,129,56,220,57,303450,13,2024-11-24T17:30:11.425407Z
50,366,84,491,67,303450,12,2024-11-23T02:20:14.386893Z
51,399,44,311,69,303450,12,2024-11-23T02:20:14.381119Z
52,401,84,4,80,303450,11,2024-11-09T06:49:28.132596Z
53,491,67,327,78,303450,9,2024-10-25T15:29:46.190006Z
54,182,109,17,100,303450,9,2024-10-25T15:29:46.185968Z
55,594,46,291,41,303450,6,2024-09-28T01:06:37.134755Z
56,311,71,495,55,303450,6,2024-09-28T01:06:37.134568Z
57,17,100,328,127,303450,6,2024-09-28T01:06:37.134357Z
58,4,81,447,61,303450,6,2024-09-28T01:06:37.133959Z
59,91,45,15,55,303450,6,2024-09-28T01:06:37.133538Z
60,422,45,255,46,303450,6,2024-09-25T00:44:23.898166Z
61,447,61,129,56,303450,6,2024-09-22T21:02:07.154370Z
62,3,60,18,60,303450,6,2024-09-22T19:02:51.018577Z
63,220,59,401,84,303450,6,2024-09-22T00:08:33.837815Z
64,327,78,199,69,303450,6,2024-09-22T00:08:33.837364Z
65,291,41,399,44,303450,6,2024-09-22T00:08:33.836905Z
66,270,40,116,40,303450,6,2024-09-22T00:08:33.836448Z
67,15,55,201,45,303450,6,2024-09-22T00:08:33.835862Z
68,99,71,317,75,303450,6,2024-09-21T23:57:02.299627Z
69,78,55,181,63,303450,4,2024-09-02T22:14:27.080477Z
70,328,126,17,100,303450,4,2024-09-02T22:14:27.076839Z
71,129,55,82,75,303450,2,2024-08-23T23:12:30.604701Z
