event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,60,60,3608218,3698749,3608219,45,5,1000,0,0,4
2,72,132,4181092,4217437,3541600,45,5,1001,0,0,2
3,70,198,4132405,4137247,3817604,45,0,1008,3,4,9
4,55,253,3839372,3883950,3391871,40,0,1009,0,0,5
5,60,313,4415779,4459970,3377714,45,0,1009,0,0,1
6,58,371,3327117,3332908,2893249,35,5,1009,3,0,2
7,54,425,2672310,2694542,2347009,30,0,1012,1,0,3
8,22,447,9711197,9733644,3503455,95,0,1013,0,0,1
9,80,527,169634,173946,2013338,5,9,1009,0,0,16
10,58,585,549372,563160,1264581,10,9,1018,0,0,11
11,71,656,778634,781843,784826,10,1,1025,3,0,7
12,56,712,3349863,3380031,821290,35,1,1029,0,0,15
13,85,797,884395,893753,544763,10,20,1030,2,0,2
14,67,860,3131433,3147058,600580,30,2,1031,2,4,0
15,71,931,835785,856344,361282,10,2,1034,0,0,0
16,50,981,4582757,4602218,394849,45,15,1035,2,0,0
17,66,1047,4593779,4614805,574697,45,15,1037,0,0,14
18,57,1104,4454478,4477959,658788,45,3,1037,2,0,8
19,84,1188,1443873,1468933,561789,15,3,1041,0,0,10
20,63,1251,4695353,4711786,615058,45,19,1044,2,0,1
21,66,1317,3034612,3064562,641045,30,19,1046,0,0,7
22,39,1356,7926088,7982249,755590,75,19,1050,0,0,2
23,68,1424,2604658,2620499,673586,25,7,1049,2,0,3
24,131,1555,1108587,1113749,531933,10,2,1049,0,0,10
25,90,1645,2877681,2883879,551730,30,0,1044,3,0,0
26,89,1734,798958,814814,459119,10,20,1042,1,0,11
27,67,1801,1180846,1195761,374270,15,20,1043,1,0,7
28,62,1863,3120804,3169221,363354,30,20,1045,0,0,3
29,71,1926,609342,610703,277010,10,0,1043,4,8,0
30,48,1974,4637228,4658375,293348,45,7,1044,1,0,0
31,52,2026,950184,972585,259517,10,0,1033,0,0,12
32,80,2106,1422826,1440006,252690,15,0,1039,0,0,11
33,73,2179,1791021,1803151,236404,20,3,1043,1,0,0
34,70,2249,1503989,1521900,251687,15,3,1045,0,0,1
35,49,2298,3026143,3036594,243570,30,36,1042,2,0,10
36,47,2345,4182199,4198856,272033,40,3,1044,1,0,22
37,60,2405,794365,806964,240529,10,25,1040,1,0,9
38,49,2454,4776444,4793930,276315,45,19,1040,1,0,6
