,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,617,59,306,53,3016885,38,2025-05-24T22:24:42.287957Z
1,306,53,755,75,3016885,37,2025-05-16T15:45:52.591574Z
2,345,95,571,62,3016885,36,2025-05-08T12:27:33.084831Z
3,110,66,207,76,3016885,35,2025-05-01T21:23:44.172001Z
4,99,81,17,104,3016885,35,2025-05-01T21:23:44.166918Z
5,533,50,163,54,3016885,34,2025-04-24T17:15:59.876122Z
6,182,106,366,85,3016885,34,2025-04-24T17:15:59.875854Z
7,311,72,339,66,3016885,34,2025-04-23T12:59:23.322139Z
8,402,52,514,75,3016885,34,2025-04-19T16:17:42.106431Z
9,275,38,409,45,3016885,34,2025-04-19T16:17:42.106164Z
10,510,39,201,46,3016885,34,2025-04-19T16:06:20.198337Z
11,447,69,207,77,3016885,34,2025-04-19T16:06:20.198076Z
12,566,54,755,76,3016885,34,2025-04-19T16:06:20.197831Z
13,327,75,571,62,3016885,34,2025-04-19T16:06:20.197622Z
14,99,79,17,104,3016885,34,2025-04-19T16:06:20.197392Z
15,366,85,633,60,3016885,34,2025-04-19T16:06:20.197137Z
16,514,75,762,61,3016885,34,2025-04-19T16:06:20.196930Z
17,339,66,44,44,3016885,34,2025-04-19T16:06:20.196714Z
18,163,54,211,52,3016885,34,2025-04-19T16:06:20.196490Z
19,70,53,350,61,3016885,34,2025-04-19T16:06:20.196232Z
20,248,50,15,55,3016885,34,2025-04-19T16:06:20.195881Z
21,17,104,182,107,3016885,33,2025-04-13T13:44:57.869816Z
22,571,62,585,57,3016885,31,2025-04-04T17:39:36.373648Z
23,415,54,437,44,3016885,31,2025-04-04T17:39:36.373471Z
24,207,76,58,89,3016885,31,2025-04-04T17:39:36.373248Z
25,633,60,402,50,3016885,31,2025-04-04T17:32:08.118528Z
26,762,61,54,55,3016885,31,2025-04-04T17:32:08.118269Z
27,44,44,18,63,3016885,31,2025-04-04T17:32:08.118003Z
28,182,107,17,103,3016885,31,2025-04-04T17:32:08.117729Z
29,58,89,617,57,3016885,31,2025-04-03T21:35:21.098190Z
30,54,55,182,106,3016885,31,2025-04-03T21:35:21.097946Z
31,350,61,228,38,3016885,31,2025-04-03T21:35:21.095127Z
32,201,46,443,48,3016885,31,2025-04-03T21:35:21.094876Z
33,15,55,227,39,3016885,31,2025-04-03T21:35:21.094582Z
34,617,57,207,76,3016885,31,2025-04-02T20:46:24.432883Z
35,437,44,573,49,3016885,31,2025-04-02T19:28:06.270735Z
36,409,45,418,56,3016885,31,2025-04-02T19:28:06.270575Z
37,17,103,366,85,3016885,31,2025-04-02T19:28:06.270406Z
38,207,76,617,57,3016885,31,2025-04-02T19:28:06.270230Z
39,211,51,70,52,3016885,31,2025-04-02T19:28:06.269967Z
