event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,55,55,4895408,4897007,4895408,60,10,1000,0,0,4
2,61,116,6755496,6755852,5918487,75,0,1000,1,0,0
3,77,189,2278750,2279318,4705187,25,2,998,2,4,0
4,51,240,5115881,5117345,4595403,55,0,1002,0,0,1
5,78,318,608095,608690,2957164,10,0,1005,0,0,1
6,68,386,1634183,1634420,1737869,20,5,1009,2,0,3
7,37,423,8000342,8000828,2462638,80,5,1013,0,0,7
8,47,470,1777113,1777772,1850627,20,5,1016,0,0,2
9,74,544,630753,630899,1148294,10,20,1020,3,0,8
10,54,598,993353,994061,792166,10,20,1028,0,0,3
11,44,642,6760969,6761417,1222372,65,0,1031,1,0,10
12,47,689,5725990,5726539,1543025,55,0,1029,0,0,2
13,57,746,6135160,6135230,1969652,60,7,1026,3,0,-1
14,68,814,2701491,2702089,1812103,25,7,1023,0,0,2
15,71,885,907931,908399,1267651,10,1,1022,1,0,2
16,44,929,6498283,6499163,1462049,60,1,1022,0,0,4
17,83,1012,1733925,1734320,1257898,20,1,1021,0,0,4
18,68,1080,1563185,1563236,1104569,15,0,1020,4,0,15
19,75,1155,3352189,3352952,1130287,35,0,1026,0,0,6
20,67,1222,3429420,3430127,1113262,35,0,1029,0,0,0
21,69,1291,2473311,2474207,1062683,25,0,1030,0,0,3
22,34,1325,9698010,9698302,1301603,90,3,1032,1,0,5
23,60,1385,5269072,5270425,1336973,50,3,1031,0,0,2
24,129,1514,1315555,1315650,1110041,15,15,1029,4,0,12
25,101,1615,1011513,1012431,936701,10,5,1029,1,0,6
26,85,1700,1268584,1269015,837867,15,20,1030,0,0,2
27,63,1763,2208496,2208560,756342,20,4,1026,3,0,2
28,81,1844,167804,167857,529655,5,4,1029,0,0,11
29,48,1892,3332052,3332381,545350,30,4,1028,0,0,6
30,49,1941,4300070,4300539,559973,40,13,1028,2,0,7
31,58,1999,491301,492250,437836,5,2,1030,1,0,2
32,84,2083,1023850,1025190,387892,10,2,1032,0,0,2
33,75,2154,1528732,1529174,374072,15,0,1030,3,4,0
34,80,2234,716391,717773,323932,10,13,1027,0,0,0
35,50,2284,2416227,2417115,306991,25,13,1028,0,0,11
36,37,2321,7879162,7879357,391639,70,34,1027,2,0,13
37,44,2365,4110120,4110823,432744,40,14,1027,1,0,9
38,50,2415,4441247,4442071,474407,40,12,1028,1,0,4
