,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,78,57,432,55,73201,38,2025-05-25T03:54:20.631866Z
1,58,90,541,70,73201,37,2025-05-16T15:43:48.542916Z
2,351,148,401,93,73201,36,2025-05-10T07:59:32.652521Z
3,432,55,328,131,73201,36,2025-05-10T07:59:32.647453Z
4,110,66,755,75,73201,34,2025-04-26T03:45:40.492120Z
5,541,70,58,89,73201,34,2025-04-26T03:45:40.491748Z
6,247,56,514,75,73201,34,2025-04-26T03:45:40.491358Z
7,99,80,54,57,73201,34,2025-04-26T03:45:40.490979Z
8,533,50,211,50,73201,34,2025-04-26T03:45:40.490765Z
9,350,63,44,44,73201,34,2025-04-26T03:45:40.490513Z
10,311,72,18,65,73201,34,2025-04-26T03:45:40.490282Z
11,73,41,15,56,73201,34,2025-04-26T03:45:40.489932Z
12,345,93,182,105,73201,33,2025-04-19T07:01:56.083290Z
13,54,57,71,59,73201,33,2025-04-19T07:01:56.082930Z
14,15,56,521,40,73201,33,2025-04-19T07:01:56.079162Z
15,18,64,422,53,73201,31,2025-04-05T06:44:23.778492Z
16,755,74,129,55,73201,30,2025-04-01T16:55:42.989327Z
17,409,45,311,73,73201,30,2025-04-01T16:55:42.983511Z
18,571,62,348,92,73201,29,2025-03-15T05:45:29.209272Z
19,136,65,78,57,73201,29,2025-03-15T05:38:44.185755Z
20,533,48,18,62,73201,29,2025-03-15T05:38:44.185307Z
21,99,81,514,74,73201,29,2025-03-15T05:35:23.561078Z
22,78,57,136,65,73201,29,2025-03-15T05:35:23.560801Z
23,617,56,401,92,73201,29,2025-03-14T20:47:24.592960Z
24,447,73,129,54,73201,29,2025-03-14T20:47:24.592726Z
25,351,147,58,89,73201,29,2025-03-14T20:47:24.592520Z
26,348,92,402,50,73201,29,2025-03-14T20:47:24.592275Z
27,136,65,328,132,73201,29,2025-03-14T20:47:24.592080Z
28,366,84,182,107,73201,29,2025-03-14T20:47:24.591862Z
29,461,40,311,74,73201,29,2025-03-14T20:47:24.591647Z
30,18,62,211,48,73201,29,2025-03-14T20:47:24.591421Z
31,350,59,44,44,73201,29,2025-03-14T20:47:24.591165Z
32,235,51,521,40,73201,29,2025-03-14T20:47:24.590881Z
33,129,54,232,54,73201,27,2025-02-25T17:21:57.044266Z
34,514,74,54,53,73201,27,2025-02-25T17:21:57.043863Z
35,291,39,145,44,73201,27,2025-02-25T17:21:57.040232Z
36,744,15,742,5,73201,25,2025-02-14T14:56:10.190712Z
37,58,89,539,45,73201,24,2025-02-01T02:04:15.683478Z
38,232,55,351,147,73201,24,2025-02-01T02:04:15.682930Z
39,71,58,585,57,73201,24,2025-02-01T02:04:15.682492Z
40,311,74,355,44,73201,24,2025-02-01T02:04:15.678873Z
41,422,53,6,56,73201,22,2025-01-18T06:26:45.258369Z
42,401,90,82,75,73201,18,2024-12-26T05:50:45.350399Z
43,402,50,557,50,73201,18,2024-12-26T05:50:45.349905Z
44,585,58,99,73,73201,18,2024-12-26T05:50:45.349209Z
45,211,47,594,46,73201,18,2024-12-26T05:50:45.344999Z
46,594,47,228,41,73201,15,2024-12-07T07:12:22.093096Z
47,557,50,239,50,73201,13,2024-11-29T16:10:37.249391Z
48,6,55,350,62,73201,13,2024-11-29T16:10:37.249030Z
49,145,46,255,46,73201,13,2024-11-29T16:10:37.244770Z
50,82,77,252,57,73201,11,2024-11-08T16:35:46.541404Z
51,350,61,3,62,73201,9,2024-10-25T15:10:33.743283Z
52,252,57,220,60,73201,9,2024-10-25T15:06:35.533857Z
53,443,45,15,56,73201,9,2024-10-25T15:06:35.527872Z
54,220,60,129,56,73201,6,2024-09-27T21:05:55.340831Z
55,3,61,311,70,73201,6,2024-09-27T21:05:55.335606Z
56,129,56,401,85,73201,4,2024-09-01T18:07:21.984494Z
57,539,45,82,75,73201,4,2024-09-01T18:07:21.984206Z
58,328,126,442,45,73201,4,2024-09-01T18:07:21.983946Z
59,239,50,317,75,73201,4,2024-09-01T18:07:21.983716Z
60,99,70,199,69,73201,4,2024-09-01T18:07:21.983482Z
61,228,40,495,55,73201,4,2024-09-01T18:07:21.983245Z
62,255,46,333,43,73201,4,2024-09-01T18:07:21.982978Z
63,355,46,116,40,73201,4,2024-09-01T18:07:21.982738Z
64,521,40,294,40,73201,4,2024-09-01T18:07:21.982488Z
65,15,55,201,45,73201,4,2024-09-01T18:07:21.982107Z
66,54,51,348,94,73201,3,2024-08-30T22:12:15.575196Z
67,182,105,181,64,73201,3,2024-08-30T22:12:15.571529Z
68,348,95,13,85,73201,2,2024-08-24T00:01:22.756801Z
