,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,99,80,136,64,5703757,33,2025-04-18T00:02:46.322556Z
1,339,66,311,71,5703757,33,2025-04-18T00:02:46.322150Z
2,18,65,3,61,5703757,33,2025-04-18T00:02:46.321631Z
3,401,95,351,148,5703757,33,2025-04-18T00:02:46.315914Z
4,268,55,129,55,5703757,7,2024-09-29T14:35:33.634725Z
5,136,66,113,55,5703757,3,2024-08-26T12:21:26.583238Z
6,129,55,58,90,5703757,3,2024-08-26T12:21:26.582997Z
7,182,105,433,65,5703757,3,2024-08-26T12:21:26.582761Z
8,54,50,99,70,5703757,3,2024-08-26T12:21:26.582502Z
9,69,45,546,45,5703757,3,2024-08-26T12:21:26.582115Z
10,113,55,199,70,5703757,3,2024-08-24T21:04:09.521191Z
11,58,90,401,85,5703757,3,2024-08-24T21:04:09.520974Z
12,546,45,82,75,5703757,3,2024-08-24T21:04:09.520762Z
13,99,70,23,69,5703757,3,2024-08-24T21:04:09.520495Z
14,433,65,514,75,5703757,3,2024-08-24T21:04:09.520273Z
15,594,45,116,40,5703757,3,2024-08-24T21:04:09.520048Z
16,495,55,390,40,5703757,3,2024-08-24T21:04:09.519818Z
17,3,60,388,45,5703757,3,2024-08-24T21:04:09.519526Z
18,311,70,295,45,5703757,3,2024-08-24T21:04:09.519263Z
19,461,40,341,55,5703757,3,2024-08-24T21:04:09.518971Z
20,3,60,295,45,5703757,2,2024-08-20T13:13:57.299421Z
21,198,55,82,75,5703757,2,2024-08-20T13:13:57.298991Z
22,317,75,199,70,5703757,2,2024-08-20T13:13:57.298559Z
23,350,60,390,40,5703757,2,2024-08-20T13:13:57.298082Z
24,311,70,388,45,5703757,2,2024-08-20T13:13:57.297642Z
25,291,40,341,55,5703757,2,2024-08-20T13:13:57.297163Z
26,309,45,514,75,5703757,2,2024-08-20T13:13:57.296725Z
27,99,70,23,70,5703757,2,2024-08-20T13:13:57.296149Z
