event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,92,92,26763,29355,26763,1,5,1000,0,0,22
2,59,151,7108779,7129062,965669,75,20,1004,1,0,11
3,67,218,4796361,4817686,1682612,50,19,1005,1,0,14
4,46,264,6678462,6716979,2307698,70,19,1006,0,0,6
5,45,309,8717021,8741342,3701361,85,19,1006,0,0,15
6,42,351,7052724,7057617,4487532,70,9,1002,3,0,6
7,49,400,3962137,4000626,4241297,40,9,1001,0,0,13
8,29,429,8042541,8054723,4809259,80,0,1002,2,0,7
9,55,484,5282875,5305241,4812686,50,8,1001,1,0,3
10,51,535,1477587,1503402,4057424,15,8,1001,0,0,5
11,50,585,4999618,5016328,4030910,50,5,1001,1,0,7
12,30,615,9818208,9824506,5027900,95,13,1000,1,0,10
13,68,683,3623313,3634467,4668155,35,40,999,2,0,2
14,50,733,7725408,7752687,5013174,75,6,1000,0,0,3
15,49,782,5721597,5756786,5109061,55,6,1004,0,0,4
16,51,833,4151464,4178184,4977587,40,1,1008,1,0,8
17,53,886,6797894,6806389,5220645,65,10,1013,1,0,6
18,54,940,5123297,5151117,5150607,50,10,1015,0,0,10
19,59,999,7460417,7466530,5375874,70,5,1015,2,0,13
20,61,1060,5057743,5090847,5392352,50,5,1017,0,0,18
21,102,1162,42765,44184,4252801,1,5,1022,1,0,19
22,40,1202,7550652,7601899,4361740,70,5,1027,0,0,3
23,58,1260,6467389,6485127,4435566,60,2,1028,2,0,9
24,102,1362,4559037,4575313,4391093,45,2,1024,0,0,8
25,74,1436,6332042,6338025,4558792,60,0,1021,2,0,10
26,75,1511,3434034,3458292,4468352,35,6,1016,1,0,3
27,53,1564,5767276,5824852,4486865,55,6,1018,0,0,9
28,60,1624,4071293,4087827,4483117,40,12,1017,2,0,5
29,36,1660,6294390,6304873,4553470,60,10,1017,1,0,6
30,55,1715,2019989,2060532,4411823,20,10,1019,0,0,6
31,19,1734,10746027,10748905,4642136,95,1,1014,1,0,10
32,67,1801,3147280,3167568,4503242,30,1,1011,0,0,8
33,70,1871,2399498,2404870,4319084,25,0,1010,3,0,0
34,55,1926,3456145,3478771,4239547,35,0,1011,0,0,13
35,62,1988,407733,413307,3949996,5,11,1012,1,0,13
36,50,2038,3267597,3280512,3860752,30,0,1017,2,0,4
37,62,2100,629615,635378,3569567,10,1,1012,2,0,11
38,57,2157,2372087,2400450,3475931,25,1,1014,0,0,4
